4650,4651,4652,4653,4654,4655,4656,4657,4658,4659,4660,4661,4662,4663,4664,4665,4666,4667,4668,4669,4670,4671,4672,4673,4674,4675,4676,4677,4678,4679,4680,4681,4682,4683,4684,4685,4686,4687,4688,4689,4690,4691,4692,4693,4694,4695,4696,4697,4698,4699
21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,18,17,17,17,17,17,17,16,16,16,16,16,16,16,15,25,15,15,25,15,25,15,15,15,15,15,15,40,40,40,40,39,39,39
"{'en': 'Hotel Colombo', 'ar': 'Hotel Colombo', 'sq': 'Hotel Colombo'}","{'en': 'Hotel Onufri', 'ar': 'Hotel Onufri', 'sq': 'Hotel Onufri'}","{'en': 'Tradita e Beratit', 'ar': 'Tradita e Beratit', 'sq': 'Tradita e Beratit'}","{'en': 'Berat Plaza Hotel', 'ar': 'Hotel Plaza Berat', 'sq': 'Hotel Berat Plaza'}","{'en': 'Argjiro Traditional', 'ar': 'Argjiro Traditional', 'sq': 'Argjiro Traditional'}","{'en': 'Palorto Traditional Hotel', 'ar': 'Palorto Traditional Hotel', 'sq': 'Palorto Traditional Hotel'}","{'en': 'Hotel Cajupi', 'ar': 'Hotel Cajupi', 'sq': 'Hotel Cajupi'}","{'en': 'Boutique Hotel Empire of Martin', 'ar': 'Boutique Hotel Empire of Martin', 'sq': 'Boutique Hotel Empire of Martin'}","{'en': 'Hotel Argjiro', 'ar': 'Hotel Argjiro', 'sq': 'Hotel Argjiro'}","{'en': 'Bujtina Sophie', 'ar': 'Bujtina Sophie', 'sq': 'Bujtina Sophie'}","{'en': 'Vila Sharm', 'ar': 'Vila Sharm', 'sq': 'Vila Sharm'}","{'en': 'Hotel Fantasy', 'ar': 'Hotel Fantasy', 'sq': 'Hotel Fantazi'}","{'en': 'El Nacional Hotel', 'ar': 'El Nacional Hotel', 'sq': 'El Nacional Hotel'}","{'en': 'Villa ""Dr. Bizhga"" Agrotourism', 'ar': 'Vila ""Dr.Bizhga"" Agroturizem', 'sq': 'Vila ""Dr.Bizhga"" Agroturizem'}","{'en': 'The Barrels Ms', 'ar': 'The Barrels Ms', 'sq': 'The Barrels Ms'}","{'en': ""N'SOKAK Boutique Hotel"", 'ar': ""N'SOKAK Boutique Hotel"", 'sq': ""N'SOKAK Boutique Hotel""}","{'en': 'Boutique Hotel Kooperativa', 'ar': 'Boutique Hotel Kooperativa', 'sq': 'Boutique Hotel Kooperativa'}","{'en': 'Sublime Bnb', 'ar': 'Sublime Bnb', 'sq': 'Sublime Bnb'}","{'en': 'Grand Hotel Europa', 'ar': 'فندق جراند أوروبا', 'sq': 'Grand Hotel Europa'}","{'en': 'PineHill Hotel', 'ar': 'فندق باين هيل', 'sq': 'Hotel PineHill'}","{'en': 'Hotel Golden Palace', 'ar': 'فندق القصر الذهبي', 'sq': 'Hotel Golden Palace'}","{'en': 'Hotel Colosseum & Spa', 'ar': 'فندق وسبا كولوسيوم', 'sq': 'Hotel Colosseum & Spa'}","{'en': 'Duomo Resort', 'ar': 'منتجع دومو', 'sq': 'Resorti Duomo'}","{'en': 'Palace Hotel & Spa', 'ar': 'فندق وسبا بالاس', 'sq': 'Palace Hotel & Spa'}","{'en': 'Meliá Durrës Albania', 'ar': 'ميليا دوريس ألبانيا', 'sq': 'Meliá Durrës Albania'}","{'en': 'Flower Hotels & Resorts', 'ar': 'Flower Hotels & Resorts', 'sq': 'Hotele dhe vendpushime me lule'}","{'en': 'Diamma Resort Conference & Spa', 'ar': 'منتجع دياما كونفرنس آند سبا', 'sq': 'Diamma Resort Conference & Spa'}","{'en': 'ROYAL G DELUXE', 'ar': 'ROYAL G DELUXE', 'sq': 'ROYAL G DELUXE'}","{'en': 'Hotel Villa Pascucci', 'ar': 'فندق فيلا باسكوتشي', 'sq': 'Hotel Villa Pascucci'}","{'en': 'Mövenpick Hotel Lalez Durres', 'ar': 'فندق موفنبيك لاليز دوريس', 'sq': 'Mövenpick Hotel Lalez Durres'}","{'en': 'Albanopolis Hotel', 'ar': 'فندق ألبانوبوليس', 'sq': 'Hotel Albanopolis'}","{'en': 'Hotel Garden', 'ar': 'حديقة الفندق', 'sq': 'Kopshti i Hotelit'}","{'en': 'La Suite Boutique Hotel', 'ar': 'فندق لا سويت البوتيكي', 'sq': 'Hotel Boutique La Suite'}","{'en': 'Rogner Europark Hotel', 'ar': 'Rogner Europark Hotel', 'sq': 'Hotel Rogner Europark'}","{'en': 'Hotel International Pristina & SPA', 'ar': 'فندق وسبا إنترناشيونال بريشتينا', 'sq': 'Hotel International Prishtina & SPA'}","{'en': 'Mai Tai Resort', 'ar': 'منتجع ماي تاي', 'sq': 'Resorti Mai Tai'}","{'en': 'Swiss Diamond Hotel Pristina', 'ar': 'فندق سويس دايموند بريشتينا', 'sq': 'Swiss Diamond Hotel Prishtina'}","{'en': 'MAK Hotel Tirana', 'ar': 'فندق ماك تيرانا', 'sq': 'MAK Hotel Tirana'}","{'en': 'Lot Boutique Hotel by Hotels and Preference', 'ar': 'فندق لوت البوتيكي حسب الفنادق والتفضيلات', 'sq': 'Lot Boutique Hotel by Hotels and Preference'}","{'en': 'Arté Boutique Hotel', 'ar': 'فندق آرتي بوتيك', 'sq': 'Hotel Boutique Arté'}","{'en': 'Xheko Imperial Luxury Hotel & SPA', 'ar': 'فندق وسبا Xheko Imperial Luxury', 'sq': 'Xheko Imperial Luxury Hotel & SPA'}","{'en': 'Tirana Marriott Hotel', 'ar': 'فندق تيرانا ماريوت', 'sq': 'Tirana Marriott Hotel'}","{'en': 'Maritime Hotel Plaza Tirana', 'ar': 'فندق ماريتايم بلازا تيرانا', 'sq': 'Hotel Maritime Plaza Tirana'}","{'en': 'Pyramids moon Tower', 'ar': 'Pyramids moon Tower', 'sq': 'Pyramids moon Tower'}","{'en': 'Marriott Mena House', 'ar': 'فندق ماريوت مينا هاوس', 'sq': 'Shtëpia Marriott Mena'}","{'en': 'Galaxy Mall', 'ar': 'جلاكسى مول', 'sq': 'Galaxy Mall'}","{'en': 'The First Mall', 'ar': 'The First Mall', 'sq': 'The First Mall'}","{'en': 'Dar Eid mountain lodge', 'ar': 'نزل جبل دار عيد', 'sq': 'Shtëpia malore e Dar Bajramit'}","{'en': 'Sheikh Mousa Bedouin Camp', 'ar': 'معسكر الشيخ موسى البدوي', 'sq': 'Kampi i beduinëve të Sheikh Mousa'}","{'en': 'Morgenland Hotel', 'ar': 'Morgenland Hotel', 'sq': 'Morgenland Hotel'}"
"{'en': 'A luxurious 5-star hotel in Berat offering modern amenities, fine dining, and proximity to historic sites.', 'ar': 'فندق 5 نجوم فاخر في بيرات يوفر وسائل الراحة الحديثة والطعام الفاخر وقربه من المواقع التاريخية.', 'sq': 'Një hotel luksoz me 5 yje në Berat që ofron komoditete moderne, ngrënie të shkëlqyera dhe afërsi me vendet historike.'}","{'en': ""A 4-star hotel offering comfortable accommodations with modern amenities, located near Berat's historic center."", 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، ويقع بالقرب من المركز التاريخي لمدينة Berat.', 'sq': 'Një hotel me 4 yje që ofron akomodime komode me komoditete moderne, i vendosur pranë qendrës historike të Beratit.'}","{'en': 'A 4-star hotel offering a blend of traditional and modern accommodation in the historic Gorica district of Berat, near popular tourist sites.', 'ar': 'فندق 4 نجوم يقدم مزيجًا من أماكن الإقامة التقليدية والحديثة في منطقة جوريكا التاريخية في بيرات، بالقرب من المواقع السياحية الشهيرة.', 'sq': 'Një hotel me 4 yje që ofron një ndërthurje të akomodimit tradicional dhe modern në rrethin historik të Goricës të Beratit, pranë vendeve të njohura turistike.'}","{'en': ""A 4-star hotel offering modern accommodations with traditional Albanian hospitality, located near Berat's historic center."", 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة عصرية مع الضيافة الألبانية التقليدية، ويقع بالقرب من المركز التاريخي لمدينة Berat.', 'sq': 'Një hotel me 4 yje që ofron akomodime moderne me mikpritje tradicionale shqiptare, i vendosur pranë qendrës historike të Beratit.'}","{'en': ""A 4-star hotel offering comfortable accommodations with modern amenities, located near Gjirokastër's historic center."", 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، ويقع بالقرب من المركز التاريخي لمدينة غيروكاستر.', 'sq': 'Një hotel me 4 yje që ofron akomodime komode me komoditete moderne, ndodhet pranë qendrës historike të Gjirokastrës.'}","{'en': ""A 4-star hotel offering comfortable accommodations with modern amenities, located near Gjirokastër's historic center."", 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، ويقع بالقرب من المركز التاريخي لمدينة غيروكاستر.', 'sq': 'Një hotel me 4 yje që ofron akomodime komode me komoditete moderne, ndodhet pranë qendrës historike të Gjirokastrës.'}","{'en': ""A 4-star hotel offering comfortable accommodations with modern amenities, located near Gjirokastër's historic center."", 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، ويقع بالقرب من المركز التاريخي لمدينة غيروكاستر.', 'sq': 'Një hotel me 4 yje që ofron akomodime komode me komoditete moderne, ndodhet pranë qendrës historike të Gjirokastrës.'}","{'en': 'A 4-star boutique hotel offering comfortable accommodations with modern amenities, located in Gjirokastër.', 'ar': 'يوفر هذا الفندق البوتيكي ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، ويقع في غيروكاستر.', 'sq': 'Një boutique hotel me 4 yje që ofron akomodime komode me komoditete moderne, i vendosur në Gjirokastër.'}","{'en': 'A 4-star hotel located in the heart of Gjirokastër, offering a comfortable stay with a blend of traditional and modern elements, close to major attractions. (tripadvisor.com)', 'ar': 'فندق 4 نجوم يقع في قلب مدينة غيروكاستر، ويوفر إقامة مريحة مع مزيج من العناصر التقليدية والحديثة، بالقرب من مناطق الجذب الرئيسية.', 'sq': 'Një hotel me 4 yje i vendosur në zemër të Gjirokastrës, që ofron një qëndrim komod me një ndërthurje të elementeve tradicionale dhe moderne, pranë atraksioneve kryesore.'}","{'en': 'Traditional guesthouse with modern amenities, set in a scenic rural location near Gjirokastër.', 'ar': 'بيت ضيافة تقليدي مع وسائل الراحة الحديثة، ويقع في موقع ريفي خلاب بالقرب من غيروكاستر.', 'sq': 'Bujtinë tradicionale me komoditete moderne, e vendosur në një vend piktoresk rural pranë Gjirokastrës.'}","{'en': ""A 4-star hotel offering comfortable accommodations with modern amenities, including an on-site restaurant and bar, located near Gjirokastër's city center."", 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، بما في ذلك مطعم وبار في الموقع، ويقع بالقرب من وسط مدينة غيروكاستر.', 'sq': 'Një hotel me 4 yje që ofron akomodime të rehatshme me pajisje moderne, duke përfshirë një restorant dhe bar në vend, i vendosur pranë qendrës së qytetit të Gjirokastrës.'}","{'en': 'A 4-star hotel offering a blend of neoclassical design and traditional woodwork, providing panoramic views of the city, including the castle and old architecture.', 'ar': 'فندق 4 نجوم يتميز بمزيج من التصميم الكلاسيكي الجديد والأعمال الخشبية التقليدية، ويوفر إطلالات بانورامية على المدينة، بما في ذلك القلعة والهندسة المعمارية القديمة.', 'sq': 'Një hotel me 4 yje që ofron një përzierje të dizajnit neoklasik dhe punimeve tradicionale të drurit, duke ofruar pamje panoramike të qytetit, duke përfshirë kështjellën dhe arkitekturën e vjetër.'}","{'en': 'A 4-star hotel offering comfortable accommodations with modern amenities, including a seasonal outdoor pool and bar, located near Gjirokastër.', 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، بما في ذلك مسبح موسمي في الهواء الطلق وبار، ويقع بالقرب من Gjirokastër.', 'sq': 'Një hotel me 4 yje që ofron akomodime të rehatshme me komoditete moderne, duke përfshirë një pishinë të jashtme sezonale dhe bar, i vendosur pranë Gjirokastrës.'}","{'en': 'A 5-star agrotourism hotel offering comfortable accommodations with modern amenities, set amidst the natural beauty of Gjirokastër.', 'ar': 'يوفر فندق السياحة الزراعية ذو الـ 5 نجوم أماكن إقامة مريحة مع وسائل الراحة الحديثة، ويقع وسط الجمال الطبيعي لمدينة غيروكاستر.', 'sq': 'Një hotel agroturistik me 5 yje që ofron akomodime komode me komoditete moderne, i vendosur mes bukurive natyrore të Gjirokastrës.'}","{'en': 'A 4-star family-run hotel offering modern accommodations amidst a picturesque vineyard setting, providing warm hospitality and authentic Albanian charm.', 'ar': 'يوفر هذا الفندق ذو الـ 4 نجوم المُدار عائليًا أماكن إقامة عصرية وسط أجواء مزارع الكروم الخلابة، ويوفر كرم الضيافة والسحر الألباني الأصيل.', 'sq': 'Një hotel familjar me 4 yje që ofron akomodime moderne mes një mjedisi piktoresk vreshtash, duke ofruar mikpritje të ngrohtë dhe bukuri autentike shqiptare.'}","{'en': 'A luxurious boutique hotel in the heart of Gjirokastër, offering comfortable accommodations with premium services and a prime location for exploring the city.', 'ar': 'فندق بوتيكي فاخر يقع في قلب مدينة غيروكاستر، ويوفر أماكن إقامة مريحة مع خدمات متميزة وموقعًا متميزًا لاستكشاف المدينة.', 'sq': 'Një hotel luksoz butik në zemër të Gjirokastrës, që ofron akomodime të rehatshme me shërbime premium dhe një vend kryesor për të eksploruar qytetin.'}",{'sq': None},"{'en': 'Sublime Bnb in Shakdor: Comfortable accommodations with WiFi, full kitchen, sauna, and city view.', 'ar': 'Sublime Bnb في شكدور: إقامة مريحة مع واي فاي، مطبخ كامل، ساونا، وإطلالة على المدينة.', 'sq': 'Sublime Bnb në Shakdor: Akomodime të rehatshme me WiFi, kuzhinë të plotë, sauna dhe pamje të qytetit.'}","{'en': 'Grand Hotel Europa offers a luxurious stay with high-quality service and convenient access to both cultural and natural attractions in Shkodër. Ideal for both business and leisure travelers.', 'ar': 'يوفر فندق Grand Hotel Europe إقامة فاخرة مع خدمة عالية الجودة وسهولة الوصول إلى مناطق الجذب الثقافية والطبيعية في شكودر.', 'sq': 'Grand Hotel Europa ofron një qëndrim luksoz me shërbim të cilësisë së lartë dhe akses të përshtatshëm si në atraksionet kulturore ashtu edhe në ato natyrore të Shkodrës.'}","{'en': 'This hotel combines elegance, comfort, and family-friendly facilities, making it a perfect destination for relaxation and exploration.', 'ar': 'يجمع هذا الفندق بين الأناقة والراحة والمرافق المناسبة للعائلة، مما يجعله وجهة مثالية للاسترخاء والاستكشاف.', 'sq': 'Ky hotel kombinon elegancën, komoditetin dhe objektet miqësore për familjen, duke e bërë atë një destinacion të përsosur për relaksim dhe eksplorim.'}","{'en': 'Combining luxury and comfort, Golden Palace Hotel offers well-appointed rooms, excellent dining options and a variety of services.', 'ar': 'يجمع فندق Golden Palace بين الفخامة والراحة، ويوفر غرفًا مجهزة تجهيزًا جيدًا وخيارات ممتازة لتناول الطعام ومجموعة متنوعة من الخدمات.', 'sq': 'Duke kombinuar luksin dhe komoditetin, Golden Palace Hotel ofron dhoma të pajisura mirë, mundësi të shkëlqyera ngrënieje dhe një sërë shërbimesh.'}","{'en': 'Hotel Colosseo & Spa combines luxury with comfort, offering a relaxing stay with excellent amenities.', 'ar': 'يجمع فندق Colosseo & Spa بين الفخامة والراحة، ويوفر إقامة مريحة مع وسائل راحة ممتازة.', 'sq': 'Hotel Colosseo & Spa kombinon luksin me komoditetin, duke ofruar një qëndrim relaksues me komoditete të shkëlqyera.'}","{'en': 'The Duomo Resort is a luxurious retreat offering a combination of comfort, wellness and stunning views.', 'ar': 'يعد منتجع Duomo ملاذًا فاخرًا يوفر مزيجًا من الراحة والعافية والمناظر الخلابة.', 'sq': 'Duomo Resort është një vendstrehim luksoz që ofron një kombinim të rehatisë, mirëqenies dhe pamjeve mahnitëse.'}","{'en': 'Palace Hotel & Spa offers a luxurious stay with excellent wellness facilities, stunning sea views, and easy access to nearby attractions. It’s an ideal choice for travelers seeking relaxation and comfort in Durres.', 'ar': 'يوفر فندق Palace Hotel & Spa إقامة فاخرة مع مرافق صحية ممتازة وإطلالات خلابة على البحر وسهولة الوصول إلى مناطق الجذب القريبة.', 'sq': 'Palace Hotel & Spa ofron një qëndrim luksoz me ambiente të shkëlqyera Wellness, pamje mahnitëse të detit dhe qasje të lehtë në atraksionet aty pranë.'}","{'en': 'Melia Durres Albania offers a luxurious and relaxing escape with first-class amenities and stunning beachfront views.', 'ar': 'يوفر ميليا دوريس ألبانيا ملاذًا فاخرًا ومريحًا مع وسائل راحة من الدرجة الأولى وإطلالات خلابة على شاطئ البحر .', 'sq': 'Melia Durres Albania ofron një arratisje luksoze dhe relaksuese me pajisje të klasit të parë dhe pamje mahnitëse nga plazhi.'}","{'en': 'Flower Hotels & Resorts is a great choice for those looking for a combination of comfort, luxury and convenience.', 'ar': 'تعتبر فنادق ومنتجعات فلاور خيارًا رائعًا لأولئك الذين يبحثون عن مزيج من الراحة والرفاهية والملاءمة.', 'sq': 'Flower Hotels & Resorts është një zgjedhje e shkëlqyer për ata që kërkojnë një kombinim të rehatisë, luksit dhe komoditetit.'}","{'en': 'Diamma Resort Conference & Spa offers a blend of luxury, relaxation, and business facilities, making it ideal for both leisure and professional travelers. With beautiful coastal views and a variety of services, it provides a comfortable and convenient base in Durres.', 'ar': 'يقدم Diamma Resort Conference & Spa مزيجًا من مرافق الرفاهية والاسترخاء والأعمال، مما يجعله مثاليًا للمسافرين بغرض الترفيه والمسافرين المحترفين.', 'sq': 'Diamma Resort Conference & Spa ofron një përzierje luksi, relaksi dhe lehtësish biznesi, duke e bërë atë ideal si për udhëtarët e kohës së lirë ashtu edhe për udhëtarët profesionistë.'}","{'en': 'ROYAL G DELUXE offers a luxurious stay with convenient access to beautiful beaches and essential amenities, making it a great option for both relaxation and exploration in Durres.', 'ar': 'يوفر فندق ROYAL G DELUXE إقامة فاخرة مع سهولة الوصول إلى الشواطئ الجميلة والمرافق الأساسية، مما يجعله خيارًا رائعًا للاسترخاء والاستكشاف في دوريس.', 'sq': 'ROYAL G DELUXE ofron një qëndrim luksoz me akses të përshtatshëm në plazhet e bukura dhe lehtësitë thelbësore, duke e bërë atë një opsion të shkëlqyeshëm si për relaksim ashtu edhe për eksplorim në Durrës.'}","{'en': 'Hotel Villa Pascucci offers a comfortable stay with excellent facilities in a central location in Durres, perfect for both relaxation and exploration of the area.', 'ar': 'يوفر فندق Villa Pascucci إقامة مريحة مع مرافق ممتازة في موقع مركزي في دوريس، وهو مثالي للاسترخاء واستكشاف المنطقة.', 'sq': 'Hotel Villa Pascucci ofron një qëndrim të rehatshëm me lehtësira të shkëlqyera në një vendndodhje qendrore në Durrës, perfekt si për relaksim ashtu edhe për eksplorim të zonës.'}","{'en': 'Mövenpick Hotel Lalez Durres is a luxurious seaside retreat offering a perfect blend of comfort, relaxation, and recreation.', 'ar': 'يُعد فندق موفنبيك لاليز دوريس ملاذًا فاخرًا على شاطئ البحر يوفر مزيجًا مثاليًا من الراحة والاسترخاء والاستجمام.', 'sq': 'Mövenpick Hotel Lalez Durres është një vendstrehim luksoz buzë detit që ofron një përzierje perfekte rehatie, relaksi dhe rekreacioni.'}","{'en': 'Albanopolis Hotel is an excellent choice for accommodation in Tirana, combining a central location with convenient services that guarantee guests a unique experience.', 'ar': 'يعتبر Albanopolis Hotel خيارًا ممتازًا للإقامة في تيرانا، حيث يجمع بين الموقع المركزي والخدمات المريحة التي تضمن للضيوف تجربة مميزة.', 'sq': 'Hotel Albanopolis është një zgjedhje e shkëlqyer për akomodim në Tiranë, duke kombinuar një vendndodhje qendrore me shërbime të përshtatshme që u garantojnë mysafirëve një eksperiencë unike.'}",{'sq': None},"{'en': ""La Suite Boutique Hotel is an ideal choice for those looking for comfortable accommodation and upscale services near Tirana's most prominent landmarks."", 'ar': 'La Suite Boutique Hotel خيار مثالي للباحثين عن إقامة مريحة وخدمات راقية بالقرب من أبرز معالم تيرانا.', 'sq': 'La Suite Boutique Hotel është një zgjedhje ideale për ata që kërkojnë akomodim të rehatshëm dhe shërbime të larta pranë pikave më të spikatura të Tiranës.'}",{'sq': None},{'sq': None},"{'en': 'Mai Tai Resort is an ideal choice for travelers looking for a quiet and comfortable stay near the city of Tirana, with easy access to the tourist and commercial attractions in the area.', 'ar': 'Mai Tai Resort هو خيار مثالي للمسافرين الباحثين عن إقامة هادئة ومريحة بالقرب من مدينة تيرانا، مع سهولة الوصول إلى المعالم السياحية والتجارية في المنطقة.', 'sq': 'Mai Tai Resort është një zgjedhje ideale për udhëtarët që kërkojnë një qëndrim të qetë dhe të rehatshëm pranë qytetit të Tiranës, me akses të lehtë në atraksionet turistike dhe tregtare të zonës.'}",{'sq': None},"{'en': 'A luxury hotel in the heart of Tirana offering elegant rooms, fine restaurants, and full facilities, with an ideal location for exploring the city.', 'ar': 'فندق فاخر في قلب تيرانا يقدم غرفًا أنيقة، مطاعم راقية، ومرافق متكاملة، مع موقع مثالي لاستكشاف المدينة.', 'sq': 'Një hotel luksoz në zemër të Tiranës që ofron dhoma elegante, restorante të shkëlqyera dhe ambiente të plota, me një vendndodhje ideale për të eksploruar qytetin.'}","{'en': 'A luxury hotel in Tirana offering elegant rooms, a fine restaurant, and full facilities, with an ideal location for exploring the city.', 'ar': 'فندق فاخر في تيرانا يقدم غرفًا أنيقة، مطعمًا راقيًا، ومرافق متكاملة، مع موقع مثالي لاستكشاف المدينة.', 'sq': 'Një hotel luksoz në Tiranë që ofron dhoma elegante, një restorant të bukur dhe pajisje të plota, me një vendndodhje ideale për të eksploruar qytetin.'}","{'en': ""A luxury hotel in Tirana offering elegant rooms, a fine restaurant, and a garden, with an ideal location close to the city's famous landmarks."", 'ar': 'فندق فاخر في تيرانا يقدم غرفًا أنيقة، مطعمًا راقيًا، وحديقة، مع موقع مثالي قريب من معالم المدينة الشهيرة.', 'sq': 'Një hotel luksoz në Tiranë që ofron dhoma elegante, një restorant të bukur dhe një kopsht, me një vendndodhje ideale pranë monumenteve të famshme të qytetit.'}","{'en': 'A luxury hotel in Tirana offering elegant rooms, a rooftop restaurant, and upscale services next to a large garden.', 'ar': 'فندق فاخر في تيرانا يقدم غرفًا أنيقة، مطعمًا على السطح، وخدمات راقية بجوار الحديقة الكبيرة.', 'sq': 'Një hotel luksoz në Tiranë që ofron dhoma elegante, një restorant në çati dhe shërbime luksoze pranë një kopshti të madh.'}","{'en': ""A luxury hotel in the heart of Tirana offering comfortable rooms, a fitness center, sauna, and fine dining options close to the city's most prominent landmarks."", 'ar': 'فندق فاخر بقلب تيرانا يوفر غرفًا مريحة، مركز لياقة، ساونا، وخيارات طعام راقية بالقرب من أبرز معالم المدينة.', 'sq': 'Një hotel luksoz në zemër të Tiranës që ofron dhoma të rehatshme, një qendër fitnesi, sauna dhe opsione të shkëlqyera ngrënieje pranë pikave më të spikatura të qytetit.'}","{'en': 'An upscale hotel in the center of Tirana, featuring a spa, fitness center and modern facilities near famous landmarks such as Skanderbeg Square.', 'ar': 'فندق راقٍ في وسط تيرانا، يضم سبا ومركز لياقة ومرافق حديثة بالقرب من المعالم الشهيرة مثل ساحة سكندربيرغ.', 'sq': 'Një hotel luksoz në qendër të Tiranës, me një spa, qendër fitnesi dhe ambiente moderne pranë monumenteve të famshme si Sheshi Skënderbej.'}","{'en': 'A comfortable hotel near the Giza Pyramids, offering rooms with charming views and excellent services at competitive prices.', 'ar': 'فندق مريح بالقرب من أهرامات الجيزة، يوفر غرفًا بإطلالات ساحرة وخدمات ممتازة بأسعار تنافسية.', 'sq': 'Një hotel komod pranë Piramidave të Gizës, që ofron dhoma me pamje simpatike dhe shërbime të shkëlqyera me çmime konkuruese.'}","{'en': 'A luxury hotel next to the Giza Pyramids, offering upscale rooms, luxurious facilities, and international restaurants with charming views.', 'ar': 'فندق فاخر بجوار أهرامات الجيزة، يقدم غرفًا راقية، مرافق فخمة، ومطاعم عالمية مع إطلالات ساحرة.', 'sq': 'Një hotel luksoz pranë Piramidave të Gizës, që ofron dhoma luksoze, ambiente luksoze dhe restorante ndërkombëtare me pamje simpatike.'}","{'en': 'Galaxy Mall is a mall in Giza that offers a diverse shopping experience with shops, restaurants, and entertainment facilities suitable for all ages.', 'ar': 'جالاكسي مول هو مركز تجاري في الجيزة يقدم تجربة تسوق متنوعة مع محلات تجارية، مطاعم، ومرافق ترفيهية تناسب جميع الأعمار.', 'sq': 'Galaxy Mall është një qendër tregtare në Giza që ofron një përvojë të larmishme blerjeje me dyqane, restorante dhe ambiente argëtimi të përshtatshme për të gjitha moshat.'}","{'en': 'A luxury mall in Giza, offering a luxurious shopping experience with a variety of shops, in addition to upscale restaurants and a wonderful view of the Giza Pyramids.', 'ar': 'مركز تجاري فاخر في الجيزة، يقدم تجربة تسوق فاخرة مع مجموعة متنوعة من المحلات التجارية، بالإضافة إلى مطاعم راقية وإطلالة رائعة على أهرامات الجيزة.', 'sq': 'Një qendër luksoze në Giza, që ofron një eksperiencë luksoze blerjesh me një shumëllojshmëri dyqanesh, përveç restoranteve luksoze dhe një pamje të mrekullueshme të Piramidave të Gizës.'}","{'en': 'A charming mountain lodge in St. Catherine that offers stunning views and an exceptional experience for nature and adventure lovers.', 'ar': 'نزُل جبلي ساحر في سانت كاترين يوفر إطلالات خلابة وتجربة استثنائية لمحبي الطبيعة والمغامرة.', 'sq': 'Një shtëpizë malore simpatike në Shën Katerinë që ofron pamje mahnitëse dhe një përvojë të jashtëzakonshme për adhuruesit e natyrës dhe aventurave.'}","{'en': 'An authentic Bedouin experience in St. Catherine near Mount Moses and St. Catherine Monastery with a relaxed and welcoming atmosphere.', 'ar': 'تجربة بدوية أصيلة في سانت كاترين بالقرب من جبل موسى ودير سانت كاترين بأجواء مريحة وترحيبية.', 'sq': 'Një përvojë autentike beduinësh në Shën Katerinë pranë malit Moisi dhe Manastirit të Shën Katerinës me një atmosferë të relaksuar dhe mikpritëse.'}","{'en': 'Morgenland Holly Village: Quiet hotel in St. Catherine, close to Mount Moses and St. Catherine Monastery with fantastic mountain views.', 'ar': 'Morgenland Holly Village: فندق هادئ في سانت كاترين، قريب من جبل موسى ودير سانت كاترين بإطلالات جبلية رائعة.', 'sq': 'Morgenland Holly Village: Hotel i qetë në Shën Katerinë, afër malit të Moisiut dhe Manastirit të Shën Katerinës me pamje fantastike malore.'}"
