4700,4701,4702,4703,4704,4705,4706,4707,4708,4709,4710,4711,4712,4713,4714,4715,4716,4717,4718,4719,4720,4721,4722,4723,4724,4725,4726,4727,4728,4729,4730,4731,4732,4733,4734,4735,4736,4737,4738,4739,4740,4741,4742,4743,4744,4745,4746,4747,4748,4749
39,39,39,36,36,36,36,36,36,36,35,35,40,37,37,40,40,34,31,31,31,37,37,37,37,37,37,37,37,37,32,32,32,33,33,33,33,33,34,34,34,32,35,35,35,35,35,35,35,35
"{'en': 'MiAMi Seafood', 'ar': 'ميامي للمأكولات البحرية', 'sq': 'MiAMi Ushqim deti'}","{'en': 'VIP oasis', 'ar': 'واحة VIP', 'sq': 'Oaz VIP'}","{'en': 'Red Cat', 'ar': 'Red Cat', 'sq': 'Red Cat'}","{'en': 'Tim’s Munch', 'ar': 'Tim’s Munch', 'sq': ""Tim's Munch""}","{'en': 'Box Meal', 'ar': 'Box Meal', 'sq': 'Box Meal'}","{'en': 'Seaduction', 'ar': 'Seaduction', 'sq': 'Seaduction'}","{'en': 'Mama Mia Dahab', 'ar': 'ماما ميا دهب', 'sq': 'Mama Mia Dahab'}","{'en': 'Pattaya Thai Dahab', 'ar': 'باتايا تاي دهب', 'sq': 'Pattaya Thai Dahab'}","{'en': 'The Breakfast Cafe', 'ar': 'The Breakfast Cafe', 'sq': 'Kafeneja e Mëngjesi'}","{'en': 'Dragon house Restuarant', 'ar': 'مطعم بيت التنين', 'sq': 'Shtëpia e Dragoit Restorant'}","{'en': 'Hurghada City Center', 'ar': 'الغردقة سيتي سنتر', 'sq': 'Qendra e qytetit të Hurghadës'}","{'en': 'Senzo Mall Hurghada', 'ar': 'مول سينزو الغردقة', 'sq': 'Senzo Mall Hurghada'}","{'en': ""Khufu's Restaurant"", 'ar': 'مطعم خوفو', 'sq': 'Restoranti i Khufu'}","{'en': 'Dream Mall - Dream Mall', 'ar': 'دريم مول - دريم مول', 'sq': 'Dream Mall - Dream Mall'}","{'en': 'Sky Mall - Porto Sokhna', 'ar': 'سكاي مول – بورتو السخنة', 'sq': 'Sky Mall - Porto Sokhna'}","{'en': 'Zeeyara Pyramids Elite', 'ar': 'زيارة بيراميدز إيليت', 'sq': 'Elite e Piramidave Zeeyara'}","{'en': 'XODÓ', 'ar': 'XODÓ', 'sq': 'XODÓ'}","{'en': 'Aswan Plaza Mall', 'ar': 'أسوان بلازا مول', 'sq': 'Aswan Plaza Mall'}","{'en': 'Namaste Indian Restaurant', 'ar': 'مطعم ناماستي الهندي', 'sq': 'Restorant Indian Namaste'}","{'en': 'SACHI Heliopolis', 'ar': 'ساتشي هليوبلس', 'sq': 'SACHI Heliopolis'}","{'en': 'Al Khal Restaurant', 'ar': 'مطعم الخال', 'sq': 'Restorant Al Khal'}","{'en': 'Jar El Bahr', 'ar': 'جار البحر', 'sq': 'Jar El Bahr'}","{'en': 'il Tavolino', 'ar': 'il Tavolino', 'sq': 'il Tavolino'}","{'en': 'The Grill Restaurant', 'ar': 'مطعم ذا جريل', 'sq': 'Restorant Grill'}","{'en': 'The G Einbay Golf Resort', 'ar': 'منتجع جي أينباي للجولف', 'sq': 'G Einbay Golf Resort'}","{'en': 'Tanoak Hotel', 'ar': 'فندق تانواك', 'sq': 'Hotel Tanoak'}","{'en': 'Tolip Galala Hills Resort', 'ar': 'منتجع توليب الجلالة هيلز', 'sq': 'Tulip Galala Hills Resort'}","{'en': 'Mövenpick Resort El Sokhna', 'ar': 'منتجع موڤنبيك السخنة', 'sq': 'Mövenpick Resort El Sokhna'}","{'en': 'Jaz Little Venice Resort & Golf', 'ar': 'منتجع وجولف جاز ليتل فينيس', 'sq': 'Jaz Little Venice Resort & Golf'}","{'en': 'Grand Ocean El Sokhna', 'ar': 'جراند أوشن السخنة', 'sq': 'Oqeani i Madh El Sokhna'}","{'en': 'Cleopatra Sharm Luxury Resort - for adults only, 16 years and over', 'ar': 'منتجع كليوباترا شرم الفاخر - للكبار فقط 16 سنة فأكثر', 'sq': 'Cleopatra Sharm Luxury Resort - vetëm për të rritur, 16 vjeç e lart'}","{'en': 'Meraki Sharm El Sheikh Resort is for adults only', 'ar': 'منتجع ميراكي شرم الشيخ للبالغين فقط', 'sq': 'Meraki Sharm El Sheikh Resort është vetëm për të rriturit'}","{'en': 'Royal Savoy Sharm El Sheikh', 'ar': 'رويال سافوي شرم الشيخ', 'sq': 'Royal Savoy Sharm El Sheikh'}","{'en': 'Al Moudira Hotel', 'ar': 'فندق المديرة', 'sq': 'Al Moudira Hotel'}","{'en': 'Sofitel Winter Palace Luxor', 'ar': 'فندق سوفيتل وينتر بالاس الأقصر', 'sq': 'Sofitel Winter Palace Luxor'}","{'en': 'Jolie Ville Hotel & Spa Luxor', 'ar': 'فندق و سبا جولي فيل الأقصر', 'sq': 'Jolie Ville Hotel & Spa Luxor'}","{'en': 'Hilton Luxor Resort & Spa', 'ar': 'منتجع وسبا هيلتون الأقصر', 'sq': 'Hilton Luxor Resort & Spa'}","{'en': 'Sonesta St. George Hotel - Convention Center', 'ar': 'فندق سونستا سانت جورج - مركز المؤتمرات', 'sq': 'Hotel Sonesta St. George - Qendra e Konventave'}","{'en': '\u202aKing Jamaica Restaurant & Cafe\u202c', 'ar': 'مطعم ومقهى كينج جامايكا', 'sq': 'Restorant dhe kafene King Jamaica'}","{'en': 'Juzoor', 'ar': 'جُذُور (Juzoor)', 'sq': 'Juzoor'}","{'en': 'Mezze Restaurant\u202c', 'ar': 'مطعم ميزة', 'sq': 'Restorant Mezze'}","{'en': 'Pickalbatros Laguna Club Resort Sharm El Sheikh', 'ar': 'منتجع بيكالباتروس لاجونا كلوب شرم الشيخ', 'sq': 'Pickalbatros Laguna Club Resort Sharm El Sheikh'}","{'en': 'Pyramisa Beach Resort', 'ar': 'منتجع بيراميزا بيتش', 'sq': 'Piramisa Beach Resort'}","{'en': 'Pickalbatros White Beach Resort - Hurghada', 'ar': 'منتجع بيكالباتروس وايت بيتش - الغردقة', 'sq': 'Pickalbatros White Beach Resort - Hurghada'}","{'en': 'The V Luxury Resort Sahl Hasheesh', 'ar': 'منتجع ذا في لكجري سهل حشيش', 'sq': 'Resorti luksoz V Sahl Hasheesh'}","{'en': 'Caves Beach Resort', 'ar': 'منتجع شاطئ الكهوف', 'sq': 'Cave Beach Resort'}","{'en': 'Sunrise Holidays Resort - Adults Only', 'ar': 'منتجع صن رايز هوليدايز - للبالغين فقط', 'sq': 'Sunrise Holidays Resort - Vetëm për të rriturit'}","{'en': 'Steigenberger Aldau Beach Hotel', 'ar': 'فندق شتيجنبرجر الداو بيتش', 'sq': 'Hotel Steigenberger Aldau Beach'}","{'en': '\u202aThe Blues Restaurant & Bar\u202c', 'ar': 'مطعم وبار ذا بلوز', 'sq': 'Restorant & Bar Blues'}","{'en': 'Restaurant Kan Zaman', 'ar': 'مطعم كان زمان', 'sq': 'Restorant Kan Zaman'}"
"{'en': 'A restaurant specializing in fresh seafood serving delicious dishes in a relaxed atmosphere.', 'ar': 'مطعم متخصص في المأكولات البحرية الطازجة يقدم أطباق لذيذة في أجواء مريحة.', 'sq': 'Një restorant i specializuar në ushqime të freskëta deti që shërben pjata të shijshme në një atmosferë relaksuese.'}","{'en': 'A restaurant serving local dishes and grills in a peaceful Bedouin atmosphere and charming nature.', 'ar': 'مطعم يقدم أطباقًا محلية ومشاوي وسط أجواء بدوية هادئة وطبيعة ساحرة.', 'sq': 'Një restorant që shërben pjata dhe skara lokale në një atmosferë të qetë beduine dhe natyrë simpatike.'}","{'en': 'Red Cat Dahab: A European restaurant serving delicious dishes and a cozy atmosphere in the heart of Dahab.', 'ar': 'Red Cat Dahab: مطعم أوروبي يقدم أطباقًا شهية وأجواء مريحة في قلب دهب.', 'sq': 'Red Cat Dahab: Një restorant evropian që shërben pjata të shijshme dhe një atmosferë komode në zemër të Dahabit.'}","{'en': 'Tim’s Munch Dahab: A youth destination that offers innovative, modern meals that combine quality and flavour.', 'ar': 'Tim’s Munch Dahab: وجهة شبابية تقدم وجبات عصرية مبتكرة تجمع بين الجودة والنكهة.', 'sq': 'Tim’s Munch Dahab: Një destinacion rinor që ofron ushqime novatore, moderne që kombinojnë cilësinë dhe shijen.'}","{'en': 'A modern restaurant that offers fast and healthy meals in distinctive boxes to suit all tastes.', 'ar': 'مطعم عصري يقدم وجبات سريعة وصحية في صناديق مميزة تناسب جميع الأذواق.', 'sq': 'Një restorant modern që ofron ushqime të shpejta dhe të shëndetshme në kuti të veçanta për të gjitha shijet.'}","{'en': 'A luxurious restaurant serving fine seafood with a wonderful sea view.', 'ar': 'مطعم فاخر يقدم المأكولات البحرية الفاخرة مع إطلالة رائعة على البحر.', 'sq': 'Një restorant luksoz që shërben ushqim deti të mirë me një pamje të mrekullueshme nga deti.'}","{'en': 'If you are a fan of Italian cuisine and looking for a delicious meal in a relaxed atmosphere, Mama Mia is the perfect choice.', 'ar': 'إذا كنت من محبي المأكولات الإيطالية وتبحث عن وجبة لذيذة في أجواء مريحة، فإن Mama Mia هو الخيار المثالي.', 'sq': 'Nëse jeni adhuruese e kuzhinës italiane dhe kërkoni një vakt të shijshëm në një atmosferë relaksuese, Mama Mia është zgjedhja perfekte.'}","{'en': 'It is an ideal destination for visitors who love Thai cuisine including hot and sour flavours.', 'ar': 'يُعد وجهة مثالية للزوار الذين يحبون المأكولات التايلاندية بما في ذلك النكهات الحارة والحامضة.', 'sq': 'Është një destinacion ideal për vizitorët që e duan kuzhinën tajlandeze duke përfshirë shijet e nxehta dhe të tharta.'}","{'en': 'It is a restaurant specializing in serving delicious and varied breakfast meals.', 'ar': 'هو مطعم متخصص في تقديم وجبات الإفطار اللذيذة والمتنوعة.', 'sq': 'Është një restorant i specializuar në servirjen e mëngjeseve të shijshme dhe të larmishme.'}","{'en': 'Dragon House is an excellent choice for those looking for delicious food and a relaxing atmosphere in Dahab.', 'ar': 'Dragon House يعد خيارًا ممتازًا لمن يبحثون عن طعام لذيذ وجو مريح في دهب.', 'sq': 'Dragon House është një zgjedhje e shkëlqyer për ata që kërkojnë ushqim të shijshëm dhe një atmosferë relaksuese në Dahab.'}","{'en': 'City Center Hurghada: A modern shopping and entertainment destination that includes international stores, restaurants, and a cinema in a central location.', 'ar': 'سيتي سنتر الغردقة: وجهة تسوق وترفيه عصرية تضم متاجر عالمية، مطاعم، وسينما في موقع مركزي.', 'sq': 'City Center Hurghada: Një destinacion modern pazar dhe argëtues që përfshin dyqane ndërkombëtare, restorante dhe një kinema në një vend qendror.'}","{'en': 'Senzo Mall Hurghada: A shopping and entertainment destination that includes international stores, restaurants, cinema, and games for children.', 'ar': 'سينزو مول الغردقة: وجهة تسوق وترفيه تضم متاجر عالمية، مطاعم، سينما، وألعاب للأطفال.', 'sq': 'Senzo Mall Hurghada: Një destinacion pazar dhe argëtues që përfshin dyqane ndërkombëtare, restorante, kinema dhe lojëra për fëmijë.'}","{'en': ""Khufu's Restaurant serves Egyptian and international cuisine with a wonderful view of the Giza Pyramids."", 'ar': ""مطعم Khufu's يقدم المأكولات المصرية والعالمية مع إطلالة رائعة على أهرامات الجيزة."", 'sq': ""Khufu's Restaurant shërben kuzhinë egjiptiane dhe ndërkombëtare me një pamje të mrekullueshme të Piramidave të Gizës.""}","{'en': 'Dream Mall...an ideal shopping and entertainment experience in Ain Sokhna.', 'ar': 'دريم مول.. تجربة تسوق وترفيه مثالية في العين السخنة.', 'sq': 'Dream Mall...një përvojë ideale për blerje dhe argëtim në Ain Sokhna.'}","{'en': 'Sky Mall...a unique shopping experience in the heart of Porto Sokhna.', 'ar': 'سكاي مول.. تجربة تسوق مميزة في قلب بورتو السخنة.', 'sq': 'Sky Mall...një përvojë unike tregtare në zemër të Porto Sokhna.'}","{'en': 'Zeeyara Pyramids Elite serves Egyptian and international cuisine with a stunning view of the Giza Pyramids.', 'ar': 'Zeeyara Pyramids Elite يقدم المأكولات المصرية والعالمية مع إطلالة رائعة على أهرامات الجيزة.', 'sq': 'Zeeyara Pyramids Elite shërben kuzhinë egjiptiane dhe ndërkombëtare me një pamje mahnitëse të Piramidave të Gizës.'}","{'en': 'XODÓ Restaurant serves Brazilian and international cuisine in a modern atmosphere with innovative touches and distinctive dishes.', 'ar': 'مطعم XODÓ يقدم المأكولات البرازيلية والعالمية في أجواء عصرية مع لمسات مبتكرة وأطباق مميزة.', 'sq': 'Restoranti XODÓ shërben kuzhinë braziliane dhe ndërkombëtare në një atmosferë moderne me prekje inovative dhe pjata të veçanta.'}","{'en': 'Aswan Plaza Mall includes various shops, restaurants, cafes, and entertainment venues in a modern atmosphere.', 'ar': 'مول أسوان بلازا يضم محلات تجارية متنوعة، مطاعم، مقاهي، وأماكن ترفيهية في أجواء عصرية.', 'sq': 'Aswan Plaza Mall përfshin dyqane të ndryshme, restorante, kafene dhe vende argëtimi në një atmosferë moderne.'}","{'en': 'Namaste Restaurant serves authentic Indian cuisine in a warm and elegant atmosphere with varied and delicious dishes.', 'ar': 'مطعم Namaste يقدم المأكولات الهندية الأصيلة في جو دافئ وأنيق مع أطباق متنوعة ولذيذة.', 'sq': 'Restoranti Namaste shërben kuzhinë autentike indiane në një atmosferë të ngrohtë dhe elegante me gatime të larmishme dhe të shijshme.'}","{'en': 'SACHI Heliopolis is a fine dining restaurant serving innovative dishes combining Mediterranean and Asian cuisine.', 'ar': 'SACHI Heliopolis هو مطعم فاخر يقدم أطباقًا مبتكرة تجمع بين المأكولات المتوسطية والآسيوية.', 'sq': 'SACHI Heliopolis është një restorant i mirë i ngrënies që shërben pjata novatore që kombinojnë kuzhinën mesdhetare dhe aziatike.'}","{'en': 'Al Khal Restaurant offers authentic Egyptian dishes with a luxurious touch in an elegant atmosphere.', 'ar': 'مطعم الخال يقدم الأطباق المصرية الأصيلة بلمسة فاخرة وسط أجواء راقية.', 'sq': 'Restorant Al Khal ofron pjata autentike egjiptiane me një prekje luksoze në një atmosferë elegante.'}","{'en': 'A restaurant serving fresh seafood in Ain Sokhna, with a calm atmosphere and a wonderful view of the sea.', 'ar': 'مطعم يقدم مأكولات بحرية طازجة في العين السخنة بأجواء هادئة وإطلالة رائعة على البحر.', 'sq': 'Një restorant që shërben ushqim deti të freskët në Ain Sokhna, me një atmosferë të qetë dhe një pamje të mrekullueshme të detit.'}","{'en': 'A luxurious Italian restaurant in Ain Sokhna serving authentic Italian dishes in an elegant atmosphere and a wonderful view.', 'ar': 'مطعم إيطالي فاخر في العين السخنة يقدم أطباقًا إيطالية أصيلة بأجواء أنيقة وإطلالة رائعة.', 'sq': 'Një restorant luksoz italian në Ain Sokhna që shërben pjata autentike italiane në një atmosferë elegante dhe një pamje të mrekullueshme.'}","{'en': 'Each dish is prepared using the finest and freshest ingredients to give you an unforgettable dining experience.', 'ar': 'كل طبق يتم تحضيره باستخدام أفضل المكونات الطازجة ليمنحك تجربة طعام لا تُنسى.', 'sq': ""Çdo pjatë përgatitet duke përdorur përbërësit më të mirë dhe më të freskët për t'ju dhënë një përvojë të paharrueshme të ngrënies.""}","{'en': 'A luxury resort in Ain Sokhna, offering comfortable accommodation and various entertainment facilities.', 'ar': 'منتجع فاخر في العين السخنة، يقدم إقامة مريحة ومرافق ترفيهية متنوعة.', 'sq': 'Një resort luksoz në Ain Sokhna, që ofron akomodim të rehatshëm dhe ambiente të ndryshme argëtimi.'}","{'en': 'A luxurious boutique hotel in Ain Sokhna, offering comfortable accommodation and various entertainment facilities.', 'ar': 'فندق بوتيكي فاخر في العين السخنة، يقدم إقامة مريحة ومرافق ترفيهية متنوعة.', 'sq': 'Një hotel luksoz butik në Ain Sokhna, që ofron akomodim të rehatshëm dhe ambiente të ndryshme argëtimi.'}","{'en': 'Tolip Galala Hills Resort in Ain Sokhna is a luxury resort with amazing views of the Red Sea.', 'ar': 'منتجع توليب الجلالة هيلز في العين السخنة هو منتجع فاخر مع إطلالات رائعة على البحر الأحمر.', 'sq': 'Tolip Galala Hills Resort në Ain Sokhna është një vendpushim luksoz me pamje të mahnitshme të Detit të Kuq.'}","{'en': 'A luxury resort with a private beach, outdoor pool, and sports facilities on the Red Sea.', 'ar': 'منتجع فاخر مع شاطئ خاص، مسبح خارجي، ومرافق رياضية على البحر الأحمر.', 'sq': 'Një resort luksoz me një plazh privat, pishinë të hapur dhe objekte sportive në Detin e Kuq.'}","{'en': 'A luxury resort in Ain Sokhna, offering comfortable accommodation and various entertainment facilities.', 'ar': 'منتجع فاخر في العين السخنة، يقدم إقامة مريحة ومرافق ترفيهية متنوعة.', 'sq': 'Një resort luksoz në Ain Sokhna, që ofron akomodim të rehatshëm dhe ambiente të ndryshme argëtimi.'}","{'en': 'A luxury resort in Ain Sokhna, offering comfortable accommodation and various entertainment facilities.', 'ar': 'منتجع فاخر في العين السخنة، يقدم إقامة مريحة ومرافق ترفيهية متنوعة.', 'sq': 'Një resort luksoz në Ain Sokhna, që ofron akomodim të rehatshëm dhe ambiente të ndryshme argëtimi.'}","{'en': 'A luxury resort in Nabq Bay, Sharm El Sheikh, intended for adults only, featuring stunning views and comprehensive upscale facilities.', 'ar': 'منتجع فاخر في خليج نبق بشرم الشيخ، مخصص للكبار فقط، يتميز بإطلالات خلابة ومرافق راقية شاملة.', 'sq': 'Një vendpushim luksoz në gjirin Nabq, Sharm El Sheikh, i destinuar vetëm për të rriturit, me pamje mahnitëse dhe objekte gjithëpërfshirëse të pasura.'}","{'en': 'A luxurious adults-only resort in Sharm El Sheikh, offering modern accommodation and various entertainment facilities.', 'ar': 'منتجع فاخر للبالغين فقط في شرم الشيخ، يوفر إقامة عصرية ومرافق ترفيهية متنوعة.', 'sq': 'Një resort luksoz vetëm për të rriturit në Sharm El Sheikh, që ofron akomodim modern dhe ambiente të ndryshme argëtimi.'}","{'en': 'A luxury hotel in Sharm El Sheikh overlooking the Red Sea, providing a luxurious atmosphere and ideal facilities for relaxation and activities.', 'ar': 'فندق فاخر بشرم الشيخ يطل على البحر الأحمر، يوفر أجواء فاخرة ومرافق مثالية للاسترخاء والأنشطة.', 'sq': 'Një hotel luksoz në Sharm El Sheikh me pamje nga Deti i Kuq, duke ofruar një atmosferë luksoze dhe lehtësira ideale për relaksim dhe aktivitete.'}","{'en': 'A luxurious oriental palace with traditional decor, located on the west bank of the Nile River.', 'ar': 'قصر شرقي فاخر بديكورات تقليدية، يقع على الضفة الغربية لنهر النيل.', 'sq': 'Një pallat luksoz oriental me dekor tradicional, i vendosur në bregun perëndimor të lumit Nil.'}","{'en': 'The hotel has an old-world charm, blending the elegance of the French Regency era with the charm of the Nile River.', 'ar': 'يتمتع الفندق بسحر العالم القديم ويمزج بين أناقة عصر الوصاية الفرنسية وسحر نهر النيل.', 'sq': 'Hoteli ka një bukuri të botës së vjetër, duke përzier elegancën e epokës së Regjencës Franceze me hijeshinë e lumit Nil.'}","{'en': 'Jolie Ville Kings Island Resort, Luxor, offers luxurious accommodation on a private island with views of the Nile and stunning gardens.', 'ar': 'منتجع جولي فيل كينجز آيلاند الأقصر يوفر إقامة فاخرة على جزيرة خاصة بإطلالات على النيل وحدائق خلابة.', 'sq': 'Jolie Ville Kings Island Resort, Luxor, ofron strehim luksoz në një ishull privat me pamje nga Nili dhe kopshte mahnitëse.'}","{'en': 'Hilton Luxor Resort offers views of the Nile River with a swimming pool, spa, and luxury facilities, near the Karnak Temple.', 'ar': 'منتجع هيلتون الأقصر يوفر إطلالات على نهر النيل مع مسبح، سبا، ومرافق فاخرة، بالقرب من معبد الكرنك.', 'sq': 'Hilton Luxor Resort ofron pamje të lumit Nil me një pishinë, spa dhe objekte luksoze, pranë tempullit Karnak.'}","{'en': 'Sonesta St. George Hotel in Luxor offers views of the Nile River, with a conference center, pool, and spa.', 'ar': 'فندق سونستا سانت جورج في الأقصر يوفر إطلالات على نهر النيل، مع مركز مؤتمرات، مسبح، ومنتجع صحي.', 'sq': 'Hoteli Sonesta St. George në Luxor ofron pamje të lumit Nil, me një qendër konferencash, pishinë dhe spa.'}","{'en': 'King Jamaica Restaurant in Aswan serves a mix of Nubian and Jamaican dishes with a wonderful view of the Nile River and a relaxed atmosphere.', 'ar': 'مطعم King Jamaica بأسوان يقدم مزيجًا من الأطباق النوبية والجامايكية بإطلالة رائعة على نهر النيل وأجواء مريحة.', 'sq': 'Restoranti King Jamaica në Aswan shërben një përzierje të pjatave nubiane dhe xhamajkane me një pamje të mrekullueshme të lumit Nil dhe një atmosferë të relaksuar.'}","{'en': 'Roots Restaurant in Aswan offers a “farm to table” experience with fresh, healthy dishes that suit all tastes and preferences.', 'ar': 'مطعم جذور بأسوان يقدم تجربة ""من المزرعة إلى المائدة"" بأطباق صحية طازجة تلائم جميع الأذواق والتفضيلات.', 'sq': 'Roots Restaurant në Aswan ofron një përvojë ""fermë në tryezë"" me pjata të freskëta dhe të shëndetshme që i përshtaten të gjitha shijeve dhe preferencave.'}","{'en': 'An authentic experience with distinctive local flavours.', 'ar': 'تجربة أصيلة بنكهات محلية مميزة.', 'sq': 'Një përvojë autentike me shije të veçanta lokale.'}","{'en': 'Picalbatros Laguna Club Resort is a luxury adults-only resort located in Nabq Bay, Sharm El Sheikh, Egypt.', 'ar': 'منتجع بيكالباتروس لاجونا كلوب هو منتجع فاخر مخصص للبالغين فقط، يقع في خليج نبق، شرم الشيخ، مصر.', 'sq': 'Picalbatros Laguna Club Resort është një vendpushim luksoz vetëm për të rriturit i vendosur në Gjirin Nabq, Sharm El Sheikh, Egjipt.'}","{'en': 'Pyramisa Beach Resort Sahl Hasheesh offers comfortable rooms, a private beach, an outdoor pool, and various sports facilities.', 'ar': 'منتجع بيراميزا بيتش سهل حشيش يقدم غرفًا مريحة، شاطئ خاص، مسبح خارجي، ومرافق رياضية متنوعة.', 'sq': 'Pyramisa Beach Resort Sahl Hasheesh ofron dhoma të rehatshme, një plazh privat, një pishinë të hapur dhe objekte të ndryshme sportive.'}","{'en': 'Picalbatros White Beach Resort in Hurghada offers comfortable rooms, a private beach, swimming pools, and various sports facilities.', 'ar': 'منتجع بيكالباتروس وايت بيتش في الغردقة يوفر غرفًا مريحة، شاطئ خاص، مسابح، ومرافق رياضية متنوعة.', 'sq': 'Picalbatros White Beach Resort në Hurghada ofron dhoma të rehatshme, një plazh privat, pishina dhe objekte të ndryshme sportive.'}","{'en': 'The V Luxury Resort Sahl Hasheesh is a luxury resort located in the Sahl Hasheesh area, Hurghada, Egypt.', 'ar': 'ذا في لاكشري ريزورت سهل حشيش هو منتجع فاخر يقع في منطقة سهل حشيش، الغردقة، مصر.', 'sq': 'V Luxury Resort Sahl Hasheesh është një vendpushim luksoz i vendosur në zonën Sahl Hasheesh, Hurghada, Egjipt.'}","{'en': 'Caves Beach Resort - Adults Only is a luxury resort located in the Al Ahyaa area of \u200b\u200bHurghada, Egypt.', 'ar': 'منتجع كايفز بيتش (Caves Beach Resort) - للبالغين فقط هو منتجع فاخر يقع في منطقة الأحياء بمدينة الغردقة، مصر.', 'sq': 'Caves Beach Resort - Adults Only është një vendpushim luksoz i vendosur në zonën Al Ahyaa të Hurghada, Egjipt.'}","{'en': 'The ideal choice for those looking for a quiet and comfortable stay in Hurghada, with a variety of recreational facilities and high-quality services.', 'ar': 'الخيار الأمثل للباحثين عن إقامة هادئة ومريحة في الغردقة، مع مجموعة متنوعة من المرافق الترفيهية والخدمات عالية الجودة.', 'sq': 'Zgjedhja ideale për ata që kërkojnë një qëndrim të qetë dhe të rehatshëm në Hurghada, me një shumëllojshmëri objektesh rekreative dhe shërbime të cilësisë së lartë.'}","{'en': 'Steigenberger ALDAU Beach Hotel is a luxury hotel located in Hurghada, Egypt, on the Red Sea coast.', 'ar': 'Steigenberger ALDAU Beach Hotel هو فندق فاخر يقع في الغردقة، مصر، على ساحل البحر الأحمر.', 'sq': 'Steigenberger ALDAU Beach Hotel është një hotel luksoz i vendosur në Hurghada, Egjipt, në bregun e Detit të Kuq.'}","{'en': 'The Blues Restaurant & Bar is an ideal destination for anyone looking for a fine and enjoyable dining experience in El Gouna.', 'ar': 'The Blues Restaurant & Bar هو وجهة مثالية لمن يبحث عن تجربة طعام راقية وممتعة في الجونة.', 'sq': 'Blues Restaurant & Bar është një destinacion ideal për këdo që kërkon një përvojë të mirë dhe të këndshme ngrënieje në El Gouna.'}","{'en': 'Kan Zaman Restaurant is an ideal destination to enjoy traditional Egyptian cuisine in a relaxed and friendly atmosphere.', 'ar': 'مطعم كان زمان هو وجهة مثالية للاستمتاع بالمأكولات المصرية التقليدية في أجواء مريحة وودية.', 'sq': 'Restoranti Kan Zaman është një destinacion ideal për të shijuar kuzhinën tradicionale egjiptiane në një atmosferë të relaksuar dhe miqësore.'}"
