4450,4451,4452,4453,4454,4455,4456,4457,4458,4459,4460,4461,4462,4463,4464,4465,4466,4467,4468,4469,4470,4471,4472,4473,4474,4475,4476,4477,4478,4479,4480,4481,4482,4483,4484,4485,4486,4487,4488,4489,4490,4491,4492,4493,4494,4495,4496,4497,4498,4499
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,24,25,27,24,25,27,24,25,25,25,25,27,24
"{'en': 'Sanam Luang', 'ar': 'Sanam Luang', 'sq': 'Sanam Luang'}","{'en': 'Wat Benchamabophit', 'ar': 'Wat Benchamabophit', 'sq': 'WAT Benchamabophit'}","{'en': 'Wat Saket Ratchawora Mahawihan', 'ar': 'Wat Saket Ratchawora Mahawihan', 'sq': 'Wat Saket Ratchawora Mahawihan'}","{'en': 'MBK CENTER', 'ar': 'MBK CENTER', 'sq': 'MBK CENTER'}","{'en': 'Chatuchak Park', 'ar': 'حديقة شاتوشاك', 'sq': 'Parku Chatuchak'}","{'en': 'Madame Tussauds museum', 'ar': 'متحف مدام توسو', 'sq': 'Muzeu Madame Tussauds'}","{'en': 'Khaosan Road', 'ar': 'Khaosan Road', 'sq': 'Khaosan Road'}","{'en': 'Wat Trai Mit', 'ar': 'Wat Trai Mit', 'sq': 'Wat Trai Mit'}","{'en': 'Siam Paragon', 'ar': 'Siam Paragon', 'sq': 'Siam Paragon'}","{'en': 'Siam Amazing Park', 'ar': 'Siam Amazing Park', 'sq': 'SIAM Park i mahnitshëm'}","{'en': 'National Museum Bangkok', 'ar': 'المتحف الوطني بانكوك', 'sq': 'Muzeu Kombëtar Bangkok'}","{'en': 'Jim Thompson House Museum', 'ar': 'متحف جيم طومسون هاوس', 'sq': 'Muzeu i Shtëpisë Jim Thompson'}","{'en': 'CentralWorld', 'ar': 'CentralWorld', 'sq': 'CentralWorld'}","{'en': 'The Temple of the Emerald Buddha', 'ar': 'معبد بوذا الزمردي', 'sq': 'Tempulli i Budës së Emeraldit'}","{'en': 'Safari World Marine Park', 'ar': 'Safari World Marine Park', 'sq': 'Safari World Detar Park'}","{'en': 'Safari World Safari Park', 'ar': 'Safari World Safari Park', 'sq': 'Safari Botëror Safari Park'}","{'en': 'SEA LIFE Bangkok Ocean World', 'ar': 'الحياة البحرية بانكوك أوشن وورلد', 'sq': 'Jeta e Detit Bota e Oqeanit Bangkok'}","{'en': 'Chatuchak Weekend Market', 'ar': 'Chatuchak Weekend Market', 'sq': 'Tregu i fundjavës Chatuchak'}","{'en': 'Lumpini Park', 'ar': 'حديقة لومبيني', 'sq': 'Parku Lumpini'}","{'en': 'Wat Arun', 'ar': 'Wat Arun', 'sq': 'Wat Arun'}","{'en': 'The Grand Palace', 'ar': 'القصر الكبير', 'sq': 'Pallati i Madh'}","{'en': 'Monarch Hotel', 'ar': 'Monarch Hotel', 'sq': 'Monarch Hotel'}","{'en': ""L'Hotelpz"", 'ar': ""L'Thotpz"", 'sq': ""L'Hotelpz""}","{'en': 'Zani Boutique Hotel', 'ar': 'فندق Zani Boutique', 'sq': 'Hotel Zani Boutique'}","{'en': 'Biond Hotel', 'ar': 'فندق Biond', 'sq': 'Hotel Biond'}","{'en': 'Hotel Tiffany', 'ar': 'فندق تيفاني', 'sq': 'Hotel Tiffany'}","{'en': 'Vetus Hotel', 'ar': 'Vetus Hotel', 'sq': 'Vetus Hotel'}","{'en': 'Uniluxury Hotel', 'ar': 'فندق Unipluxury', 'sq': 'Hotel uniluxury'}","{'en': 'Hotel Nartel', 'ar': 'فندق نارتل', 'sq': 'Hotel hotel'}","{'en': 'Hotel Callisto', 'ar': 'فندق Callisto', 'sq': 'Hotel Callisto'}","{'en': 'Dodona Aprohotel in Prishtina', 'ar': 'Dodona ApartHotel in Prishtina', 'sq': 'Dodona ApartHotel in Prishtina'}","{'en': 'Amico Hotel', 'ar': 'Amico Hotel', 'sq': 'Amico Hotel'}","{'en': 'Hotel Europa', 'ar': 'فندق Europa', 'sq': 'Hotel Europa'}","{'en': 'Hotel Era', 'ar': 'Hotel ERA', 'sq': 'Hotel ERA'}","{'en': 'Boulevard Exclusive', 'ar': 'Boulevard Exclusive', 'sq': 'Bulevardi ekskluzive'}","{'en': 'Urban Cozy Retreat Apartments', 'ar': 'شقق Urban Cozy Retreat', 'sq': 'Apartamente për tërheqje komode urbane'}","{'en': 'SONDER', 'ar': 'SONDER', 'sq': 'SONDER'}","{'en': 'Best Ocakbaşı', 'ar': 'Best Ocakbaşı', 'sq': 'Best Ocakbaşı'}","{'en': 'Bagolina', 'ar': 'Bagolina', 'sq': 'Bagolinë'}","{'en': ""King's"", 'ar': ""King's"", 'sq': ""King's""}","{'en': 'Konaku', 'ar': 'Konaku', 'sq': 'Konaku'}","{'en': 'Matcha Coffee and Eatery', 'ar': 'Matcha Coffee and Eatery', 'sq': 'Kafe dhe Eatery Matcha'}","{'en': 'KFC PEJA DT', 'ar': 'KFC Peja DT', 'sq': 'Kfc peja dt'}","{'en': 'Elif Burger', 'ar': 'Elif Burger', 'sq': 'Elif Burger'}","{'en': 'Chop Sandwich Club', 'ar': 'Chop Sandwich Club', 'sq': 'Chop Sandwich Club'}","{'en': 'Dielli Grill', 'ar': 'Dielli Grill', 'sq': 'Dielli Grill'}","{'en': 'Burger King', 'ar': 'Burger King', 'sq': 'Burger King'}","{'en': 'Meridian Express Supermarket', 'ar': 'ميريديان إكسبريس سوبر ماركت', 'sq': 'Supermarketi Meridian Express'}","{'en': 'Pizza gryka', 'ar': 'Pizza gryka', 'sq': 'Pizza gryka'}","{'en': 'KFC', 'ar': 'كنتاكي فرايد تشيكن', 'sq': 'KFC'}"
"{'en': 'Sanam Luang is a historic public field in Bangkok, used for royal ceremonies and events, located near the Grand Palace.', 'ar': 'Sanam Luang هو حقل عام تاريخي في بانكوك ، ويستخدم للاحتفالات والأحداث الملكية ، الواقع بالقرب من القصر الكبير.', 'sq': 'Sanam Luang është një fushë historike publike në Bangkok, e përdorur për ceremonitë dhe ngjarjet mbretërore, të vendosura afër Pallatit të Madh.'}","{'en': 'Wat Benchamabophit, or the Marble Temple, is a beautiful Buddhist temple in Bangkok known for its stunning white marble architecture.', 'ar': 'Wat Benchamabophit ، أو The Marble Temple ، هو معبد بوذي جميل في بانكوك المعروف بعمارة الرخام البيضاء المذهلة.', 'sq': 'Wat Benchamabophit, ose Tempulli i Mermerit, është një tempull i bukur Budist në Bangkok i njohur për arkitekturën e tij mahnitëse të mermerit të bardhë.'}","{'en': 'Wat Saket, or the Golden Mount, is a Buddhist temple in Bangkok, known for its golden stupa and panoramic city views.', 'ar': 'وات ساكت ، أو الجبل الذهبي ، هو معبد بوذي في بانكوك ، والمعروف عن مناظره الذهبية للستوبا والبانوراميك.', 'sq': 'Wat Saket, ose Mali i Artë, është një tempull Budist në Bangkok, i njohur për pamjet e tij të artë dhe pamjet e qytetit panoramik.'}","{'en': 'MBK Center is a popular Bangkok mall offering affordable shopping for fashion, electronics, souvenirs, and dining options.', 'ar': 'MBK Center هو مول بانكوك شائع يقدم التسوق بأسعار معقولة للأزياء والإلكترونيات والهدايا التذكارية وخيارات الطعام.', 'sq': 'MBK Center është një Bangkok Mall i njohur që ofron blerje të përballueshme për modë, elektronikë, suvenire dhe opsione ngrënieje.'}","{'en': 'Chatuchak Park is a spacious urban park in Bangkok, featuring gardens, a lake, walking paths, and peaceful green spaces.', 'ar': 'Chatuchak Park هي حديقة حضرية واسعة في بانكوك ، والتي تضم حدائق وبحيرة ومسارات المشي والمساحات الخضراء الهادئة.', 'sq': 'Chatuchak Park është një park i gjerë urban në Bangkok, duke shfaqur kopshte, një liqen, shtigje në këmbë dhe hapësira të gjelbërta paqësore.'}","{'en': 'Madame Tussauds Bangkok is a wax museum with lifelike figures of celebrities, historical icons, and interactive exhibits.', 'ar': 'Madame Tussauds Bangkok هي متحف الشمع مع شخصيات نابضة بالحياة من المشاهير والرموز التاريخية والمعارض التفاعلية.', 'sq': 'Madame Tussauds Bangkok është një muze dylli me figura të gjalla të të famshëmve, ikonave historike dhe ekspozitave interaktive.'}","{'en': 'Khaosan Road is Bangkok’s lively backpacker hub, famous for nightlife, street food, shopping, and budget stays.', 'ar': ""Khaosan Road هو Hub Bangkok's Lively Packpacker ، ويشتهر بالحياة الليلية ، وأطعمة الشوارع ، والتسوق ، وإقامة الميزانية."", 'sq': 'Rruga Khaosan është qendra e gjallë e shpinës së Bangkok, e famshme për jetën e natës, ushqimin në rrugë, pazar dhe qëndrime të buxhetit.'}","{'en': 'Wat Traimit is home to the world’s largest solid gold Buddha, a symbol of prosperity, located in Bangkok’s Chinatown.', 'ar': 'وات تريميت هي موطن لأكبر بوذا الذهبي الصلب في العالم ، وهو رمز للازدهار ، ويقع في الحي الصيني في بانكوك.', 'sq': 'Wat Traimin është shtëpia e Budës më të madhe të artë të fortë në botë, një simbol i prosperitetit, i vendosur në Chinatown të \u200b\u200bBangkok.'}","{'en': 'Siam Paragon is a luxury mall in Bangkok, featuring high-end brands, fine dining, entertainment, and SEA LIFE aquarium.', 'ar': 'Siam Paragon هو مركز تجاري فاخر في بانكوك ، ويضم العلامات التجارية الراقية ، وتناول الطعام الجيد ، والترفيه ، وحوض الحياة البحرية.', 'sq': 'Siam Paragon është një qendër luksoze në Bangkok, duke shfaqur marka të nivelit të lartë, ngrënie të bukura, argëtim dhe akuarium të jetës së detit.'}","{'en': 'Siam Amazing Park is Bangkok’s largest amusement and water park, featuring thrilling rides, a giant wave pool, and family attractions.', 'ar': 'Siam Amazing Park هي أكبر ملاهي ومتنزه مائي في بانكوك ، والتي تضم ركوبًا مثيرة ، وحمام سباحة عملاق ، ومناطق جذب عائلية.', 'sq': 'Siam Amazing Park është parku më i madh i dëfrimit dhe ujit i Bangkok, duke shfaqur udhëtime emocionuese, një pishinë gjigande me valë dhe tërheqje familjare.'}","{'en': 'The National Museum Bangkok showcases Thailand’s cultural heritage, with exhibits on art, history, and royal collections.', 'ar': 'يعرض المتحف الوطني بانكوك التراث الثقافي لتايلاند ، مع معارض حول الفن والتاريخ والمجموعات الملكية.', 'sq': 'Muzeu Kombëtar Bangkok tregon trashëgiminë kulturore të Tajlandës, me ekspozita mbi artin, historinë dhe koleksionet mbretërore.'}","{'en': ""Jim Thompson House is a museum showcasing traditional Thai architecture, art, and Jim Thompson's legacy in silk."", 'ar': 'Jim Thompson House هو متحف يعرض الهندسة المعمارية التايلاندية التقليدية والفن وإرث جيم طومسون في الحرير.', 'sq': 'Jim Thompson House është një muze që tregon arkitekturën tradicionale Thai, artin dhe trashëgiminë e Jim Thompson në mëndafsh.'}","{'en': 'CentralWorld is a large shopping mall in Bangkok, featuring international brands, dining options, entertainment, and events.', 'ar': 'CentralWorld هو مركز تجاري كبير في بانكوك ، ويضم العلامات التجارية الدولية وخيارات الطعام والترفيه والأحداث.', 'sq': 'CentralWorld është një qendër e madhe tregtare në Bangkok, duke shfaqur marka ndërkombëtare, opsione ngrënie, argëtim dhe ngjarje.'}","{'en': ""The Temple of the Emerald Buddha, located in the Grand Palace, houses the revered Emerald Buddha and is Thailand's most sacred temple."", 'ar': 'يضم معبد بوذا الزمرد ، الذي يقع في القصر الكبير ، بوذا الزمرد الموقر وأكثر معبد تايلاند المقدسة.', 'sq': 'Tempulli i Budës së Emeraldit, i vendosur në Pallatin e Madh, strehon Budën e Smeraldit të nderuar dhe është tempulli më i shenjtë i Tajlandës.'}","{'en': 'Safari World Marine Park in Bangkok features dolphin shows, bird performances, and wildlife exhibits with marine life and exotic animals.', 'ar': 'يتميز Safari World Marine Park في بانكوك برامج الدلفين ، وعروض الطيور ، ومعارض الحياة البرية مع الحياة البحرية والحيوانات الغريبة.', 'sq': 'Safari World Marine Park në Bangkok përmban shfaqje delfinësh, shfaqje zogjsh dhe ekspozita të jetës së egër me jetën detare dhe kafshët ekzotike.'}","{'en': 'Safari World Bangkok is an open zoo with a safari park, marine park, animal shows, and cultural performances.', 'ar': 'Safari World Bangkok هي حديقة حيوانات مفتوحة مع حديقة سفاري وحديقة البحرية وعروض الحيوانات والأداء الثقافي.', 'sq': 'Safari World Bangkok është një kopsht zoologjik i hapur me një park safari, park detar, shfaqje kafshësh dhe shfaqje kulturore.'}","{'en': 'SEA LIFE Bangkok Ocean World is a large aquarium in Siam Paragon, featuring marine life exhibits, an ocean tunnel, and interactive experiences.', 'ar': 'Sea Life Bangkok Ocean World هو حوض أسماك كبير في سيام باراجون ، ويضم معارض الحياة البحرية ، ونفق المحيط ، والتجارب التفاعلية.', 'sq': 'Jeta e Detit Bangkok Ocean World është një akuarium i madh në Siam Paragon, duke shfaqur ekspozita detare të jetës, një tunel oqean dhe përvoja interaktive.'}","{'en': 'Chatuchak Weekend Market is a bustling market in Bangkok, offering diverse goods, street food, and handmade items across 8,000+ stalls.', 'ar': 'Chatuchak Weekend Market هو سوق صاخب في بانكوك ، ويقدم سلعًا متنوعة ، وأطعمة في الشوارع ، وعناصر مصنوعة يدويًا عبر أكثر من 8000 كشك.', 'sq': 'Chatuchak Weekend Market është një treg i mrekullueshëm në Bangkok, duke ofruar mallra të larmishme, ushqim në rrugë dhe sende të bëra me dorë në 8,000+ stalla.'}","{'en': 'Lumpini Park is a tranquil green space in central Bangkok, featuring a lake, walking tracks, and outdoor fitness equipment.', 'ar': 'Lumpini Park هي مساحة خضراء هادئة في وسط بانكوك ، وتضم بحيرة ومسارات المشي ومعدات اللياقة البدنية في الهواء الطلق.', 'sq': 'Lumpini Park është një hapësirë \u200b\u200be gjelbër e qetë në qendrën e Bangkokut, që përmban një liqen, shinat në këmbë dhe pajisjet e fitnesit në natyrë.'}","{'en': 'Watt Arun is a famous dawn temple in Bangkok, known as a decorative central tower and its beauty at dawn and sunset.', 'ar': 'وات أرون هو معبد فجر شهير في بانكوك، معروف ببرج مركزي مزخرف وجماله في الفجر والغروب.', 'sq': 'Watt Arun është një tempull i famshëm i agimit në Bangkok, i njohur si një kullë qendrore dekorative dhe bukuria e tij në agim dhe perëndim të diellit.'}","{'en': 'The Grand Palace in Bangkok is a wonderful historical landmark that includes the temple of Buddha Al -Zomardi and ownership buildings.', 'ar': 'القصر الكبير في بانكوك هو معلم تاريخي رائع يضم معبد بوذا الزمردي ومباني ملكية.', 'sq': 'Pallati i Madh në Bangkok është një pikë referimi e mrekullueshme historike që përfshin tempullin e Budës al -Zomardi dhe ndërtesat e pronësisë.'}","{'en': 'Monarch Hotel in Prizren offers modern rooms, free Wi-Fi, dining, and easy access to attractions.', 'ar': 'يوفر فندق Monarch في Prizren غرفًا حديثة وخدمة واي فاي مجانية وتناول الطعام وسهولة الوصول إلى مناطق الجذب السياحي.', 'sq': 'Hoteli Monark në Prizren ofron dhoma moderne, wi-fi falas, ngrënie dhe qasje të lehtë në atraksione.'}","{'en': ""L'Hotelpz in Prizren features comfortable rooms, free Wi-Fi, parking, and is near key landmarks."", 'ar': ""يتميز L'Thotpz في Prizren بغرف مريحة وخدمة الواي فاي المجانية ومواقف السيارات ، وتقع بالقرب من المعالم الرئيسية."", 'sq': ""L'Hotelpz në Prizren përmban dhoma të rehatshme, wi-fi falas, parkim dhe është afër monumenteve kryesore.""}","{'en': 'Zani Boutique Hotel in Prizren offers stylish rooms, free Wi-Fi, dining, and easy access to attractions.', 'ar': 'يوفر فندق Zani Boutique في Prizren غرفًا أنيقة وخدمة الواي فاي المجانية وتناول الطعام وسهولة الوصول إلى مناطق الجذب.', 'sq': 'Hoteli Zani Boutique në Prizren ofron dhoma elegant, wi-fi falas, ngrënie dhe qasje të lehtë në atraksione.'}","{'en': 'Biond Hotel in Prizren offers modern rooms, free Wi-Fi, and city views near major attractions.', 'ar': 'يقدم Biond Hotel in Prizren غرفًا حديثة وخدمة واي فاي مجانية وإطلالات على المدينة بالقرب من مناطق الجذب الرئيسية.', 'sq': 'Biond Hotel në Prizren ofron dhoma moderne, wi-fi falas dhe pamje të qytetit pranë tërheqjeve kryesore.'}","{'en': 'Hotel Tiffany in Prizren offers modern rooms, free Wi-Fi, dining, and stunning views near top landmarks.', 'ar': 'يوفر فندق Tiffany في Prizren غرفًا حديثة وخدمة واي فاي مجانية وتناول الطعام ومناظر خلابة بالقرب من المعالم العليا.', 'sq': 'Hotel Tiffany në Prizren ofron dhoma moderne, wi-fi falas, ngrënie dhe pamje mahnitëse pranë monumenteve të larta.'}","{'en': 'Vetus Hotel in Pristina offers modern rooms, free Wi-Fi, dining, and easy access to top attractions.', 'ar': 'يوفر فندق Vetus في Pristina غرفًا حديثة وخدمة واي فاي مجانية وتناول الطعام وسهولة الوصول إلى مناطق الجذب الأولى.', 'sq': 'Vetus Hotel në Pristina ofron dhoma moderne, wi-fi falas, ngrënie dhe qasje të lehtë në tërheqjet më të larta.'}","{'en': 'Uniluxury Hotel Prishtina offers a blend of modern amenities and a prime location, making it a suitable choice for both business and leisure travelers visiting Pristina.', 'ar': 'يوفر فندق Unipluxury Hotel Prishtina مزيجًا من وسائل الراحة الحديثة والموقع الرئيسي ، مما يجعله خيارًا مناسبًا لكل من المسافرين التجاريين والترفيهين الذين يزورون Pristina.', 'sq': 'Uniluxury Hotel Prishtina ofron një përzierje të lehtësive moderne dhe një vendndodhje kryesore, duke e bërë atë një zgjedhje të përshtatshme si për udhëtarët e biznesit ashtu edhe atë të kohës së lirë që vizitojnë Pristina.'}","{'en': 'Hotel Nartel provides a blend of modern amenities and convenient location, making it an ideal choice for both business and leisure travelers visiting Pristina.', 'ar': 'يوفر فندق Nartel مزيجًا من وسائل الراحة الحديثة والموقع المريح ، مما يجعله خيارًا مثاليًا لكل من المسافرين التجاريين والترفيهين الذين يزورون Pristina.', 'sq': 'Hotel Nartel ofron një përzierje të lehtësive moderne dhe vendndodhjes së përshtatshme, duke e bërë atë një zgjedhje ideale për udhëtarët e biznesit dhe të kohës së lirë që vizitojnë Pristina.'}","{'en': 'Hotel Callisto provides a comfortable and convenient stay for visitors to Pristina, with modern amenities and a central location ideal for exploring the city.', 'ar': 'يوفر فندق Callisto إقامة مريحة ومريحة للزوار للبريتينا ، مع وسائل الراحة الحديثة والموقع المركزي المثالي لاستكشاف المدينة.', 'sq': 'Hotel Callisto ofron një qëndrim të rehatshëm dhe të përshtatshëm për vizitorët në Prishtina, me pajisje moderne dhe një vendndodhje qendrore ideale për të eksploruar qytetin.'}","{'en': 'A well-equipped hotel offering spacious accommodations and modern amenities, perfect for both short-term and long-term stays in Pristina.', 'ar': 'فندق مجهز جيدًا يوفر أماكن إقامة واسعة ووسائل الراحة الحديثة ، وهو مثالي لكل من الإقامة على المدى القصير والطويل الأجل في البريتينا.', 'sq': 'Një hotel i pajisur mirë që ofron akomodime të bollshme dhe pajisje moderne, perfekte për qëndrime afatshkurtra dhe afatgjata në Prishtina.'}","{'en': 'A welcoming hotel offering modern comforts and a central location in Pristina, perfect for travelers looking for a comfortable and convenient stay.', 'ar': 'فندق ترحيب يقدم وسائل الراحة الحديثة وموقع مركزي في بري بيريتينا ، وهو مثالي للمسافرين الذين يبحثون عن إقامة مريحة ومريحة.', 'sq': 'Një hotel mikpritës që ofron komoditete moderne dhe një vendndodhje qendrore në Pristina, e përkryer për udhëtarët që kërkojnë një qëndrim të rehatshëm dhe të përshtatshëm.'}","{'en': 'A comfortable, well-located hotel providing excellent amenities and services, ideal for both short and long stays in Pristina.', 'ar': 'فندق مريح ومتواصل جيدًا يوفر وسائل راحة وخدمات ممتازة ، مثالي للإقامات القصيرة والطويلة في البريتينا.', 'sq': 'Një hotel i rehatshëm, i vendosur mirë që ofron pajisje dhe shërbime të shkëlqyera, ideale për qëndrime të shkurtra dhe të gjata në Prishtina.'}","{'en': 'A stylish and comfortable hotel offering great services and a central location, ideal for both business and leisure visits in Pristina.', 'ar': 'فندق أنيق ومريح يقدم خدمات رائعة وموقع مركزي ، وهو مثالي للزيارات التجارية والترفيهية في البريتينا.', 'sq': 'Një hotel elegant dhe i rehatshëm që ofron shërbime të shkëlqyera dhe një vendndodhje qendrore, ideale si për vizita të biznesit ashtu edhe për kohën e lirë në Prishtina.'}","{'en': 'An exclusive hotel offering luxury and comfort in the heart of Pristina, perfect for both business and leisure travelers looking for a sophisticated stay.', 'ar': 'فندق حصري يوفر الرفاهية والراحة في قلب Pristina ، وهو مثالي لكل من المسافرين التجاريين والترفيهين الذين يبحثون عن إقامة متطورة.', 'sq': 'Një hotel ekskluziv që ofron luks dhe rehati në zemrën e Prishtinës, e përkryer si për biznesin ashtu edhe për udhëtarët e kohës së lirë që kërkojnë një qëndrim të sofistikuar.'}","{'en': 'A cozy apartment offering modern amenities, located near the main cultural attractions of Pristina, providing a comfortable and convenient stay.', 'ar': 'شقة مريحة تقدم وسائل راحة حديثة ، تقع بالقرب من مناطق الجذب الثقافية الرئيسية في بريريتينا ، مما يوفر إقامة مريحة ومريحة.', 'sq': 'Një apartament komod që ofron pajisje moderne, të vendosura afër tërheqjeve kryesore kulturore të Prishtinës, duke siguruar një qëndrim të rehatshëm dhe të përshtatshëm.'}","{'en': 'A modern, fusion restaurant offering a relaxed atmosphere, with a diverse menu perfect for food enthusiasts.', 'ar': 'مطعم عصري ومدمج يقدم جوًا مريحًا ، مع قائمة متنوعة مثالية لعشاق الطعام.', 'sq': 'Një restorant modern, Fusion, që ofron një atmosferë të qetë, me një menu të larmishme të përsosur për entuziastët e ushqimit.'}","{'en': 'Best Ocakbaşı offers authentic Turkish barbecue with grilled meats and traditional dishes in Prizren.', 'ar': 'يقدم Best Ocakbaşı حفلات شواء تركية أصيلة مع اللحوم المشوية والأطباق التقليدية في Prizren.', 'sq': 'Ocakbaşı më e mirë ofron Barbecue autentike turke me mish të pjekur në skarë dhe enët tradicionale në prizren.'}","{'en': 'Bagolina Restaurant in Pristina offers a delightful selection of traditional and international dishes in a welcoming atmosphere, making it an ideal spot for family meals, gatherings, or casual dining.', 'ar': 'يقدم مطعم Bagolina في Pristina مجموعة رائعة من الأطباق التقليدية والدولية في جو ترحيبي ، مما يجعله مكانًا مثاليًا للوجبات العائلية أو التجمعات أو تناول الطعام غير الرسمي.', 'sq': 'Restoranti Bagolina në Pristina ofron një përzgjedhje të lezetshme të pjatave tradicionale dhe ndërkombëtare në një atmosferë mikpritëse, duke e bërë atë një vend ideal për ushqime familjare, tubime ose ngrënie të rastësishme.'}","{'en': ""King's Restaurant in Peja offers a diverse selection of traditional Kosovar and regional dishes in a modern and cozy environment, perfect for family meals or gatherings."", 'ar': ""يقدم مطعم King's في Peja مجموعة متنوعة من الأطباق التقليدية والأطباق الإقليمية في بيئة حديثة ومريحة ، مثالية للوجبات العائلية أو التجمعات."", 'sq': 'Restoranti i King në Peja ofron një përzgjedhje të larmishme të pjatave tradicionale të Kosovarit dhe Rajonale në një mjedis modern dhe komod, perfekt për ushqimet ose tubimet familjare.'}","{'en': 'Konaku Restaurant offers a delightful mix of traditional Kosovar cuisine in a comfortable setting, making it a great spot to enjoy local flavors while in Prizren.', 'ar': 'يقدم مطعم Konaku مزيجًا رائعًا من مأكولات Kosovar التقليدية في مكان مريح ، مما يجعله مكانًا رائعًا للاستمتاع بالنكهات المحلية أثناء وجوده في Prizren.', 'sq': 'Restoranti Konaku ofron një përzierje të lezetshme të kuzhinës tradicionale të Kosovarit në një ambient të rehatshëm, duke e bërë atë një vend të shkëlqyeshëm për të shijuar aromat lokale ndërsa ishin në prizren.'}","{'en': 'A trendy spot in Pristina offering specialty coffee, matcha-based drinks, and healthy, fresh food options.', 'ar': 'بقعة عصرية في Pristina تقدم القهوة المتخصصة ، والمشروبات التي تعتمد على الماتشا ، وخيارات صحية طازجة.', 'sq': 'Një vend i modës në Pristina që ofron kafe specialiteti, pije me bazë matcha dhe opsione të shëndetshme, të freskëta ushqimore.'}","{'en': 'KFC Peja DT offers a convenient and enjoyable dining experience for those craving classic fried chicken and other fast-food favorites in Peja.', 'ar': 'توفر KFC Peja DT تجربة طعام مريحة وممتعة لأولئك الذين يتوقون إلى الدجاج المقلي كلاسيكيين وغيرهم من المباراة المفضلة للوجبات السريعة في Peja.', 'sq': 'KFC Peja DT ofron një përvojë ngrënie të përshtatshme dhe të këndshme për ata që dëshirojnë pulë klasike të skuqur dhe të preferuarat e tjerë të ushqimit të shpejtë në Peja.'}","{'en': 'Elif Burger in Prizren serves delicious burgers and sides in a casual and friendly atmosphere, perfect for a quick bite.', 'ar': 'يقدم Elif Burger in Prizren البرغر اللذيذ والجانبين في جو غير رسمي وودود ، مثالي لدغة سريعة.', 'sq': 'Elif Burger në Prizren shërben burgers dhe anët e shijshme në një atmosferë të rastësishme dhe miqësore, perfekte për një kafshim të shpejtë.'}","{'en': 'Chop Sandwich Club offers gourmet sandwiches with fresh ingredients, unique flavors, and a cozy atmosphere in Pristina.', 'ar': 'يوفر CHOP Sandwich Club السندويشات ذات الذواقة مع مكونات جديدة ونكهات فريدة من نوعها وأجواء مريحة في البريتينا.', 'sq': 'Chop Sandwich Club ofron sanduiçe gustator me përbërës të freskët, aromë unike dhe një atmosferë komode në Prishtina.'}","{'en': 'Dielli Grill offers a diverse menu in a cozy setting, making it a popular choice for both locals and tourists in Pristina.', 'ar': 'يقدم Dielli Grill قائمة متنوعة في بيئة مريحة ، مما يجعلها خيارًا شائعًا لكل من السكان المحليين والسياح في Pristina.', 'sq': 'Dielli Grill ofron një menu të larmishme në një mjedis komod, duke e bërë atë një zgjedhje popullore si për vendasit ashtu edhe për turistët në Prishtina.'}","{'en': 'Burger King in Pristina serves flame-grilled burgers with fast service and a casual dining experience.', 'ar': 'يقدم Burger King in Pristina البرغر المشوي بالهب مع خدمة سريعة وتجربة طعام غير رسمية.', 'sq': 'Burger King në Pristina shërben burgers të pjekur në skarë me shërbim të shpejtë dhe një përvojë të rastësishme ngrënieje.'}","{'en': 'Meridian Express Supermarket is a convenient shopping destination offering everything from fresh food to everyday essentials.', 'ar': 'Meridian Express Supermarket هي وجهة للتسوق مريحة تقدم كل شيء من الأطعمة الطازجة إلى الضروريات اليومية.', 'sq': 'Supermarketi Meridian Express është një destinacion i përshtatshëm për blerje që ofron gjithçka, nga ushqimi i freskët deri tek gjërat thelbësore të përditshme.'}","{'en': 'A local favorite in Peja, Pizza Gryka is known for its fresh, delicious pizzas and cozy atmosphere, ideal for a casual meal.', 'ar': 'من المفضلات المحلية في بيجا ، تشتهر بيتزا غريكا ببيتزاها الطازجة اللذيذة والجو المريح ، وهي مثالية لتناول وجبة غير رسمية.', 'sq': 'Një i preferuar lokal në Peja, Pizza Gryka është i njohur për picat e saj të freskëta, të shijshme dhe atmosferën komode, ideale për një vakt të rastësishëm.'}","{'en': 'A fast-food haven in Prizren, KFC offers quick, tasty meals with their signature fried chicken and classic sides. Perfect for a fast, satisfying meal on the go.', 'ar': 'يقدم KFC ملاذًا للوجبات السريعة في Prizren ، ويقدم وجبات سريعة ولذيذة مع دجاجها المقلي المميز والجانبين الكلاسيكيين.', 'sq': 'Një strehë e ushqimit të shpejtë në Prizren, KFC ofron ushqime të shpejta, të shijshme me nënshkrimin e tyre të skuqur pule dhe anët klasike.'}"
