id,city_id,city_name,country_name,name,description,short_description,latitude,longitude,location,type,created_at
1194,34,Aswan,Egypt,Salah El Din Restaurant,"{'Location': ['Enjoy genuine Egyptian cuisine at Salah El Din Restaurant located on Kornish Al Nile, Aswan Governorate, Egypt.'], 'Menu Highlights': ['Must-try: Halal dishes', 'Specialty: Organic options', 'Recomendado: Platos vegetarianos'], 'Services & Facilities': ['Enjoy outdoor seating with a great selection of teas.', 'Wheelchair accessible entrance and restroom available', 'Accepts reservations for a hassle-free dining experience.'], 'Nearby Attractions': ['Explore the majestic Philae Temple nearby', 'Take a stroll along the scenic Nile Corniche promenade', 'Discover the vibrant local markets for unique souvenirs']}","Salah El Din Restaurant in Aswan offers a diverse menu of Egyptian cuisine, open 24 hours for a delightful dining experience.",24.0908309,32.8951797,https://www.google.com/maps?q=Salah%20El%20Din%20Restaurant&ftid=0x14367b4cb8b24a29:0xb5cb199d7403a2b6,restaurant,2025-07-26T10:34:22.000000Z
1193,34,Aswan,Egypt,Saraya,"{'Location': ['Discover Saraya at Abtal El Tahrir Street in Aswan Governorate, Egypt – a must-visit spot for food enthusiasts!'], 'Menu Highlights': ['Indulge in their signature cocktails.', 'Enjoy the delicious taste of their signature coffees.', 'Enjoy indulging in luxurious desserts such as baklava', 'Explore their diverse vegetarian options'], 'Services & Facilities': ['Outdoor seating available for al fresco dining', 'Wheelchair accessible entrance and restroom', 'Accepts reservations for convenience', 'Free parking lot and street parking nearby'], 'Nearby Attractions': ['Visit Philae Temple to immerse yourself in ancient history', 'Take a stroll along the Nile Corniche for scenic views', 'Explore Nubian villages to experience local culture']}","Saraya offers a trendy, cozy atmosphere with great cocktails, coffee, and desserts. Ideal for solo dining or groups.",24.082331399999998,32.887620399999996,https://www.google.com/maps?q=Saraya&ftid=0x14366529913ab6e5:0xb2097c91a4520072,restaurant,2025-07-26T10:31:41.000000Z
1192,34,Aswan,Egypt,Kana Kato Restaurant & cafe,"{'Location': ['Explore the tastes of Aswan at 3VQQ+6HW, Aswan Governorate, Egypt. Stop by to savor local dishes with a contemporary touch.'], 'Menu Highlights': ['Enjoy the aroma of various coffee blends.', 'Try the flavorful Halal small plates.'], 'Services & Facilities': ['Outdoor seating available', 'Cozy ambiance perfect for solo dining', 'Accepts reservations for convenience'], 'Nearby Attractions': [""Explore Philae Temple's ancient wonders"", 'Stroll along the Nile Corniche for scenic views', 'Visit Nubian Village to experience local culture']}","Indulge in a culinary journey at Kana Kato Restaurant & Cafe, offering delightful coffee and Halal dishes in a trendy, cozy atmosphere.",24.0881142,32.8889655,https://www.google.com/maps?q=Kana%20Kato%20Restaurant%20%26%20cafe&ftid=0x1436656acefc3f9f:0xbbe6cf5791173e83,restaurant,2025-07-26T10:29:12.000000Z
1191,34,Aswan,Egypt,Nubian Dreams Restaurant & Cafe,"{'Location': ['Experience the charm of Nubian culture at Sheikh Othman, Aswan Governorate, Egypt. Indulge in exquisite flavors amidst picturesque surroundings.'], 'Menu Highlights': ['Enjoy traditional Nubian dishes such as Kushari and Fatta.', 'Try the refreshing Hibiscus Tea or Date Juice for an authentic taste.', ""Don't miss out on the flavorful Koshary or Molokhia stew.""], 'Services & Facilities': ['Enjoy outdoor seating with stunning views of the Nile River.', 'Enjoy live music performances while dining under the stars.', 'Wheelchair-accessible entrance and restroom facilities available for all guests.'], 'Nearby Attractions': [""Explore Philae Temple's ancient wonders just a short drive away."", 'Take a felucca ride on the Nile to Elephantine Island for scenic views.', 'Visit Aswan Botanical Garden for a peaceful retreat amidst lush greenery.']}","Nubian Dreams Restaurant & Cafe offers a cozy, upscale dining experience with a great beer and wine selection in Aswan, Egypt.",24.089391,32.8906208,https://www.google.com/maps?q=Nubian%20Dreams%20Restaurant%20%26%20Cafe&ftid=0x143665291b1396cf:0xdaadd955a80ac632,restaurant,2025-07-26T10:25:54.000000Z
1190,34,Aswan,Egypt,King Jamaica restaurant & Cafe and breakfast ( Ayman Jamaica ) Ayman Jamaica,"{'Location': ['Located on Elephantine Island, Sheyakhah Oula, Aswan Governorate, Egypt. Visit for a taste of Jamaican cuisine!'], 'Menu Highlights': ['Enjoy the Jerk Chicken with Rice and Peas.', 'Try the Ackee and Saltfish for an authentic Jamaican dish.', 'Enjoy the Plantain Fritters as a delightful appetizer.'], 'Services & Facilities': ['Outdoor seating available for dining outdoors.', 'Wheelchair accessible bathroom for your convenience.', 'Live music entertainment to enhance your dining experience'], 'Nearby Attractions': [""Explore Philae Temple's ancient ruins nearby"", 'Take a felucca ride on the Nile River for scenic views', 'Visit Nubian Village to immerse in local culture']}","Indulge in a flavorful experience at King Jamaica Restaurant & Cafe, offering diverse menu highlights and cozy atmosphere.",24.0893254,32.8910096,https://www.google.com/maps?q=King%20Jamaica%20restaurant%20%26%20Cafe%20and%20breakfast%20%28%20Ayman%20jamaica%20%29%20%D8%A7%D9%8A%D9%85%D9%86%20%D8%AC%D8%A7%D9%85%D9%8A%D9%83%D8%A7&ftid=0x1436650588f76b2d:0xb80c0578b7f04f97,restaurant,2025-07-26T10:23:11.000000Z
1189,34,Aswan,Egypt,Bob Marley Moonlight terrace restaurant cafe,"{'Location': ['Experience the essence of Aswan at Sheyakhah Oula, Aswan Governorate. Indulge in flavorful barbecue dishes under the starlit sky.'], 'Menu Highlights': ['Enjoy the signature Bob Marley cocktail.', 'Try the aromatic Arabic coffee.', 'Enjoy the luxurious variety of desserts', 'Explore the rich tea varieties'], 'Services & Facilities': ['Enjoy outdoor seating with a view', 'Convenient delivery and takeout options available', 'Wheelchair accessible restroom for all guests', 'Lively ambiance with live music performances'], 'Nearby Attractions': ['Visit Philae Temple for ancient wonders', 'Stroll along the Nile Corniche for scenic views', 'Explore Nubian Village for cultural immersion']}","Bob Marley Moonlight terrace restaurant cafe offers a vibrant atmosphere with live music, rooftop seating, and a diverse menu of cocktails, coffee, and halal food.",24.0904587,32.8910269,https://www.google.com/maps?q=Bob%20Marley%20Moonlight%20terrace%20restaurant%20cafe&ftid=0x143664b1b70d1bc1:0xc4cacadeb64acfe1,restaurant,2025-07-26T10:20:12.000000Z
1188,34,Aswan,Egypt,The Dokka Restaurant,"{'Location': ['Experience the charm of El Dokka Restaurant on Eissa Island in Aswan Governorate, Egypt.'], 'Menu Highlights': ['Savor the flavorful halal food and organic dishes', 'Indulge in small plates and refreshing cocktails.', 'Try the braille menu for an inclusive dining experience.'], 'Services & Facilities': ['Enjoy outdoor seating with a view', 'Accessible amenities such as wheelchair-friendly entrance and restroom.', 'Live music entertainment for a vibrant atmosphere'], 'Nearby Attractions': [""Explore Philae Temple's ancient wonders"", 'Take a felucca ride on the Nile River', 'Visit Nubian villages for cultural immersion']}","El Dokka Restaurant offers a cozy ambiance with rooftop seating and live music. Enjoy great coffee, desserts, and a variety of vegetarian options.",24.082716899999998,32.8846513,https://www.google.com/maps?q=El%20Dokka%20Resturant&ftid=0x143664cb2c9bbe0f:0x20a4a3b1a9724c94,restaurant,2025-07-26T10:17:26.000000Z
1187,34,Aswan,Egypt,Makka Restaurant,"{'Location': ['Discover Makka Restaurant at 143 Abtal El Tahrir St, DOWNTOWN, Aswan, Aswan Governorate, Egypt - a culinary gem worth exploring.'], 'Menu Highlights': ['Enjoy the delicious kebabs.', 'Try the aromatic grilled meats.', 'Enjoy the diverse Middle Eastern cuisine.'], 'Services & Facilities': ['Enjoy outdoor seating', 'Convenient delivery options available', 'Wheelchair accessible for all guests'], 'Nearby Attractions': [""Explore Philae Temple's ancient wonders"", 'Stroll along the Nile Corniche for scenic views', 'Visit Nubian Museum for cultural insights']}","Enjoy delicious meat dishes at Makka Restaurant, which has a rating of 4.0 and offers a cozy atmosphere along with a variety of menu options.",24.0986618,32.9005735,https://www.google.com/maps?q=Makka%20Restaurant&ftid=0x14367b4cbf181b19:0xf38cf2848dfeeff1,restaurant,2025-07-26T10:14:44.000000Z
1186,34,Aswan,Egypt,Makani Restaurant,"{'Location': ['Discover Makani Restaurant at 3VPR+374, Aswan Governorate, Egypt - a must-visit for chicken enthusiasts seeking delicious meals.'], 'Menu Highlights': ['Enjoy the Halal food choices.', 'Try the organic dishes', 'Enjoy the vegetarian choices'], 'Services & Facilities': ['Wheelchair accessible entrance and seating', 'Live music entertainment', 'Private dining room available'], 'Nearby Attractions': ['Explore Aswan Botanical Garden', 'Visit Philae Temple Complex', 'Dine at Nubian Dreams Restaurant & Cafe']}","Enjoy delicious chicken meals at Makani Restaurant, which has a rating of 4.3 and provides a cozy ambiance along with a fantastic tea variety.",24.085144999999997,32.890715799999995,https://www.google.com/maps?q=Makani%20Restaurant&ftid=0x143664ae4e25b39b:0x72b9674ff8c103cc,restaurant,2025-07-26T10:11:14.000000Z
1394,34,Aswan,Egypt,Mango Guesthouse,"{'Location': [""Discover the serenity of Aswan, Egypt's historic city along the Nile River.""], 'Services & Facilities': ['Personalized service for a memorable stay', 'Relaxing garden area for peaceful moments', 'Complimentary Wi-Fi for connectivity'], 'Rooms': ['Spacious rooms with traditional decor', 'Private balconies offering scenic views', 'Modern amenities for convenience'], 'Nearby Attractions': [""Explore Philae Temple's ancient wonders"", 'Dine at Nubian restaurants by the river', 'Cruise the Nile on a felucca boat']}","Experience comfort and tranquility at Mango Guesthouse, a cozy retreat in Aswan with a 4.7 rating.",24.0897141,32.889167799999996,https://www.google.com/maps?q=Mango%20Guesthouse&ftid=0x143664b05c07e3a5:0x9ff8b3106256355d,hotel,2025-07-26T10:04:18.000000Z
