id,city_id,city_name,country_name,name,description,short_description,latitude,longitude,location,type,created_at
161,92,Yerevan,Armenia,Yerevan Mall,"{'Location': ['Tigran Mets Avenue, Yerevan.'], 'Main Features': ['Large shopping center, entertainment zone, food court, cinema.'], 'Main Shops': ['Zara, H&M, Carrefour, Sportmaster, Calzonia.'], 'Working Hours': ['10:00 AM - 10:00 PM.']}","A spacious mall with a wide range of shops, dining, and entertainment options.",40.1552769,44.4972563,https://maps.app.goo.gl/JfuLHt72d4DVD4Eg8,shop,2025-03-07T02:01:56.000000Z
492,93,Dushanbe,Tajikistan,Bonu,"{'Information:': ['Bonu Restaurant is a famous restaurant in Doshnbeh, Tajikistan, which offers a distinctive dining experience that reflects the authentic Tajik culture.'], 'Restaurant features:': ['A warm atmosphere and traditional decoration that reflects the local heritage.', 'Excellent customer service and friendly staff.', 'A central location is easy to access in the city.'], 'Main dishes:': ['Blof: Cedar dish with meat, carrots and spices.', 'Mento: Dumplings stuffed with meat and onions, cook on steam.', 'Soupa: meat soup with vegetables.'], 'working hours:': ['Daily from 10:00 am to 10:00 pm.']}",A restaurant serves traditional Tajik dishes in a warm atmosphere with a distinctive service and an authentic taste.,38.5772223,68.787239,https://maps.app.goo.gl/KyfhhcJyhEGoDDVz7,restaurant,2025-03-07T01:58:35.000000Z
870,92,Yerevan,Armenia,Ramada Hotel & Suites by Wyndham Yerevan,"{'Name': ['Ramada Hotel & Suites by Wyndham Yerevan'], 'Location': ['Located in the heart of Yerevan, Armenia, just steps from Republic Square and major attractions.'], 'Category': ['4-star Business & Luxury Hotel'], 'Rooms & Suites': ['Elegant and spacious rooms with free Wi-Fi, flat-screen TVs, minibars, and premium bedding.'], 'Dining': ['On-site restaurant serving Armenian and international cuisine, plus a stylish lobby bar.'], 'Facilities': ['Fitness center, spa, sauna, business center, and conference facilities.'], 'Nearby Attractions': ['Close to Republic Square, the Armenian Opera House, Vernissage Market, and Cascade Complex.'], 'Services': ['24-hour reception, concierge, airport transfers, valet parking, and room service.'], 'Check-in & Check-out': ['Check-in from 3:00 PM, Check-out by 12:00 PM.'], 'Contact': ['Phone: +374 11 205555, Email: info@ramadayerevan.com, Website: www.wyndhamhotels.com.']}","Ramada by Wyndham Yerevan – A stylish 4-star hotel in the city center, offering modern rooms, dining, and amenities.",40.1798094,44.5091417,https://maps.app.goo.gl/72rEtwys7WUJuYMN9,hotel,2025-03-07T01:56:48.000000Z
491,92,Yerevan,Armenia,Mayura restaurant,"{'Info': ['A stylish restaurant offering Armenian and Mediterranean fusion dishes.'], 'Restaurant Features': ['Cozy and modern ambiance, live music, indoor and outdoor seating.'], 'Main Dishes': ['Khorovats (BBQ), Lamb Shank, Moussaka, Dolma.'], 'Working Hours': ['12:00 pm - 11:00 pm']}","A fusion of Armenian and Mediterranean flavors in a relaxed, lively setting.",40.1810373,44.5128626,https://maps.app.goo.gl/ejeuRe8Em4yezcf7A,restaurant,2025-03-07T01:54:11.000000Z
489,93,Dushanbe,Tajikistan,Toqi Teahouse,"{'Information:': ['The hotel is located in Doshnbeh, Tajikistan, and is considered a fundamental representation of the Tajik culture,'], 'Restaurant features:': ['Wooden decor made accurately reflects the artistic heritage of the region.', 'Warm and wicked atmosphere, ideal for social clusters or individual relaxation.', 'A famous place among the locals, adding to its authentic attractiveness.'], 'Main dishes:': ['Blof: It is the traditional rice dish cooked with meat and spices, and is considered one of the most famous dishes of the Tajik cuisine.', 'Shish kebab: a selection of grilled meat skewers, including chicken, beef, and lamb, served with rice and grilled onions.', 'Corrotop: It is a traditional dish consisting of flat bread dipped in milk sauce, with the addition of fresh vegetables, and is considered a distinctive experience for local taste.'], 'working hours:': ['It opens daily from 10:00 am until 11:00 pm.']}",A traditional restaurant in Dushanbe offers original Tajik dishes and special tea in a warm and heritage atmosphere.,38.5830216,68.7997056,https://maps.app.goo.gl/Bz9XfxvVy6RDxyvq5,restaurant,2025-03-07T01:46:50.000000Z
488,92,Yerevan,Armenia,American Hot Wings Restaurant,"{'Info': ['A casual American restaurant specializing in hot wings and comfort food.'], 'Restaurant Features': ['Sports bar atmosphere, casual dining, TV screens for sports events.'], 'Main Dishes': ['Hot Wings, Burgers, Fries, Onion Rings, Buffalo Wings.'], 'Working Hours': ['11:00 AM - 11:00 PM']}",A fun and relaxed place to enjoy spicy wings and classic American comfort food.,40.184679,44.5092918,https://maps.app.goo.gl/HxZrZz19zbYFL43YA,restaurant,2025-03-07T01:42:31.000000Z
487,92,Yerevan,Armenia,Limone Restaurant,"{'Info': ['An Italian restaurant offering fresh pasta and Mediterranean-inspired dishes.'], 'Restaurant Features': ['Stylish interior, casual vibe, outdoor seating.'], 'Main Dishes': ['Lasagna, Pizza Margherita, Spaghetti Carbonara, risotto.'], 'Working Hours': ['12:00 pm - 11:00 pm']}",A cozy spot to enjoy authentic Italian flavors in a modern atmosphere.,40.1896436,44.5123771,https://maps.app.goo.gl/Vuvx2yzWYnagjkPi6,restaurant,2025-03-07T01:37:46.000000Z
869,92,Yerevan,Armenia,DoubleTree by Hilton Yerevan City Centre,"{'Name': ['DoubleTree by Hilton Yerevan City Centre'], 'Location': ['Situated in the heart of Yerevan, Armenia, within walking distance of Republic Square and major attractions.'], 'Category': ['4-star Business & Luxury Hotel'], 'Rooms & Suites': ['Stylish, well-equipped rooms with free Wi-Fi, flat-screen TVs, workspaces, and Hilton’s signature comfort.'], 'Dining': ['On-site restaurant serving Armenian and international cuisine, plus a cozy lounge bar.'], 'Facilities': ['Fitness center, spa, meeting rooms, business center, and event spaces.'], 'Nearby Attractions': ['Close to Republic Square, Vernissage Market, the Armenian Opera House, and museums.'], 'Services': ['24-hour reception, concierge, airport transfers, valet parking, and room service.'], 'Check-in & Check-out': ['Check-in from 3:00 PM, Check-out by 12:00 PM.'], 'Contact': ['Phone: +374 60 651111, Email: yerevan@hilton.com, Website: www.hilton.com.']}","DoubleTree by Hilton Yerevan – A modern 4-star hotel in the city center, offering comfort, dining, and top amenities.",40.1719711,44.5057816,https://maps.app.goo.gl/U8mL8A5WoPQ2sy6A7,hotel,2025-03-07T01:35:18.000000Z
486,92,Yerevan,Armenia,Terra Grill Restaurant,"{'Info': ['A grill house offering a variety of Armenian and international barbecue dishes.'], 'Restaurant Features': ['Spacious, contemporary design, cozy atmosphere, live music.'], 'Main Dishes': ['Grilled Lamb, Beef Kebabs, Chicken Wings, Shashlik, Vegetable Skewers.'], 'Working Hours': ['12:00 pm - 11:00 pm']}","A great place for delicious grilled dishes in a relaxed, modern setting.",40.1884918,44.5155208,https://maps.app.goo.gl/Gy3iD7v7vKsaQCug7,restaurant,2025-03-07T01:34:24.000000Z
485,93,Dushanbe,Tajikistan,Crispy master,"{'Information:': ['It is a Turkish restaurant located in Doshnbeh, Tajikistan, and is considered one of the best Turkish restaurants in the city.'], 'Features of the restaurant:': ['Serves high -quality traditional Turkish dishes.', 'Comfortable atmosphere and good service.', 'Suitable for families and groups.'], 'Main dishes:': ['Grilled kebab of all kinds.', 'Grilled meat and marinated chicken.', 'The pedestrian (Turkish pies).', 'Turkish sweets such as baklava and kunafa.'], 'working hours:': ['There is no specific information about the working hours of çıtır usta in Doshnbeh, Tajikistan, in the available sources.']}",A restaurant offers delicious Turkish grills and cuisine with an authentic touch and unique flavors.,38.5691582,68.7909422,https://maps.app.goo.gl/o35F7qL3QXvSdzAa6,restaurant,2025-03-07T01:30:32.000000Z
