id,city_id,city_name,country_name,name,description,short_description,latitude,longitude,location,type,created_at
719,11,Dubai,United Arab Emirates,The Little House Dubai,"{'Information:': ['A sophisticated French restaurant in Dubai offering cuisine inspired by the South of France with Mediterranean touches.'], 'Restaurant features:': ['Refined and comfortable atmosphere with a stylish interior design.', 'Uses high-quality, fresh ingredients to prepare dishes.', 'A menu inspired by Nice French cuisine with Mediterranean touches.', 'Suitable for families and luxury gatherings.'], 'Main courses:': ['Herb-roasted chicken', 'Veal scaloppine with lemon', 'Traditional Niçoise salad', 'Shrimp with garlic and lemon', 'Grilled sea bass'], 'working hours:': ['Daily: From 12:00 pm to 3:30 pm', 'From 6:00 pm to 11:30 pm']}","A sophisticated French restaurant in Dubai offering Southern French cuisine with Mediterranean touches, in an elegant atmosphere with exceptional service.",25.2132969,55.2799339,https://maps.app.goo.gl/VBQb6imm4PNdECmk6,restaurant,2025-03-25T01:34:18.000000Z
718,11,Dubai,United Arab Emirates,Original Lemon Blossom,"{'Information:': ['A Lebanese restaurant offering an authentic dining experience inspired by traditional flavors.'], 'Restaurant Features:': ['Cozy family atmosphere with indoor and outdoor seating.', 'Fresh ingredients and high quality in serving dishes.', 'A diverse menu that caters to all tastes.'], 'Main courses:': ['Mixed grill.', 'Tabbouleh and Fattoush.', 'Lebanese shawarma.', 'Fresh seafood.'], 'Working hours:': ['Daily from 10:00 am to 12:00 midnight.']}",An authentic Lebanese restaurant serving delicious traditional dishes in a distinctive oriental atmosphere.,25.1950195,55.2745744,https://maps.app.goo.gl/ZUA79DGjaUboXEQm8,restaurant,2025-03-25T01:01:13.000000Z
1082,121,Mostar,Bosnia and Herzegovina,Hotel Pasha,"{'Location': [""900 meters from Mostar's Old Bridge, with city views and easy access to attractions.""], 'Services & Facilities': ['Seasonal outdoor pool, free private parking, spa (sauna and wellness center), bar, 24-hour front desk, multilingual staff.'], 'Rooms': ['Air-conditioned rooms with minibar, safe, flat-screen TV, private bathroom, some with a balcony.'], 'Nearby Attractions': ['Muslibegovic House (500 meters), Kravice Waterfalls (48 km).']}","Modern hotel offering a spa, outdoor pool, and comfortable rooms near major attractions.",43.344956,17.8110096,https://maps.app.goo.gl/TcWZvqRxzmXBwxdA9,hotel,2025-03-25T00:50:50.000000Z
716,11,Dubai,United Arab Emirates,Wadi Doan Restaurant,"{'Information:': ['Wadi Doan Restaurant is a Yemeni restaurant in Dubai, known for serving traditional Yemeni cuisine in a warm and friendly atmosphere, with decor that reflects Yemeni heritage.'], 'Restaurant Features:': ['Offers an authentic experience for Yemeni food lovers.', 'Uses fresh and authentic ingredients.', 'Offers comfortable family sessions.', 'Fast and friendly service.'], 'Main courses:': ['Mandi', 'Grilled fish', 'Zurbian', 'Fahsa', 'Saltah'], 'working hours:': ['Daily from 12:00 pm until 12:00 midnight.']}",Wadi Doan Restaurant offers delicious traditional Yemeni dishes in a distinctive heritage atmosphere and upscale service in Dubai.,25.2484702,55.3350765,https://maps.app.goo.gl/6hY4VzGTZDtxXvoY6,restaurant,2025-03-25T00:47:32.000000Z
1081,121,Mostar,Bosnia and Herzegovina,Sinan Han Hotel,"{'Location': [""100 meters from Mostar's Old Bridge, with views of the city and mountains.""], 'Services & Facilities': ['Free Wi-Fi, rooftop terrace, shared kitchen, day trip bookings, airport transfers (extra charge).'], 'Rooms': ['Rooms with private bathrooms, flat-screen TV with satellite channels, some with city or mountain views.'], 'Nearby Attractions': ['Old Bazaar (100 meters), Muslibegovic House (900 meters).']}","Comfortable rooms near the Old Bridge, rooftop views, and access to local excursions.",43.3352996,17.8118689,https://maps.app.goo.gl/BZfpfJ6JXcwGJu1m8,hotel,2025-03-25T00:40:31.000000Z
715,11,Dubai,United Arab Emirates,New Shanghai,"{'Information:': ['New Shanghai Restaurant is a Chinese restaurant in Dubai that offers an authentic dining experience inspired by the flavors and cuisine of traditional Shanghai.'], 'Restaurant features:': ['Modern decor with traditional Chinese touches', 'Comfortable atmosphere suitable for families and friends', 'Quick and Woodwind service'], 'Main courses:': ['Dim sum of all kinds', 'Fried noodles and veal with sauce', 'Peking roasted duck', 'Steamed stuffed dumplings'], 'Working hours:': ['Daily from 12:00 pm to 11:00 pm']}","New Shanghai Restaurant offers authentic Chinese cuisine with a modern twist, in a relaxed atmosphere, featuring dim sum and their famous Peking duck.",25.1022742,55.0880914,https://maps.app.goo.gl/QA6B8wmA9PMnMDTRA,restaurant,2025-03-25T00:38:47.000000Z
1080,121,Mostar,Bosnia and Herzegovina,Shangri La Mansion,"{'Location': ['1-minute walk from Mostar’s Old Bridge in the UNESCO-protected Old Town.'], 'Services & Facilities': ['Free Wi-Fi in public areas, private rooftop terrace with rare views.'], 'Rooms': ['Individually decorated rooms with wooden floors, air-conditioning, cable TV, and seating areas.'], 'Nearby Attractions': ['Old Bridge, Međugorje pilgrimage site (17 miles), Kravica Waterfalls, Neretva River kayaking.']}","Charming family-style rooms near the Old Bridge, offering rooftop views and tour arrangements.",43.3374065,17.8141926,https://maps.app.goo.gl/RnW6RpkeUxG7Hj6y8,hotel,2025-03-25T00:23:12.000000Z
714,11,Dubai,United Arab Emirates,Texas De Brazil - Dubai Mall,"{'Information:': ['Texas de Brazil is a Brazilian-American upscale steakhouse located in Dubai Mall, offering a traditional Brazilian-style grilling experience (churrascaria).'], 'Restaurant Features:': ['Offers a luxurious salad bar with a variety of side dishes.', 'Offers an unlimited meat experience served directly to your table.', 'Elegant atmosphere suitable for families and special occasions.'], 'Main dishes:': ['Grilled meat slices on charcoal.', 'Rip ITS Brazilian.', 'Philier Minion wrapped with bacon.', 'Grilled lamb ribs.'], 'Working hours:': ['Daily from 12:00 PM to 11:30 PM.']}",A luxurious Brazilian steakhouse in Dubai Mall offering Brazilian-style grilled meats with a salad buffet.,25.1957685,55.2756104,https://maps.app.goo.gl/XDr4bnNordhX2hrz8,restaurant,2025-03-25T00:10:38.000000Z
1079,121,Mostar,Bosnia and Herzegovina,Elegant Studio Apartments Lasta,"{'Location': [""300 m from Mostar's Old Bridge.""], 'Services & Facilities': ['Free Wi-Fi, air-conditioning, terrace access, airport shuttle (for a fee).'], 'Rooms': ['Fully equipped kitchenette, flat-screen TV, private bathroom with shower and free toiletries.'], 'Nearby Attractions': ['Old Bridge, Muslibegović House Museum, Kravica Waterfall.']}","Comfortable studio apartments with kitchenette and terrace, near Mostar’s Old Bridge.",43.3360755,17.8100825,https://maps.app.goo.gl/bxTxv3NLmxuzyitSA,hotel,2025-03-25T00:06:50.000000Z
713,11,Dubai,United Arab Emirates,Al Ustad Special Kebab,"{'Information:': ['Al Ustad Special Kabab is one of the oldest restaurants in Dubai, known for serving authentic Iranian kebabs for over 40 years.'], 'Restaurant Features:': ['Warm heritage atmosphere inspired by Iranian culture.', 'Affordable prices with high quality.', 'It features friendly and fast service.'], 'Main courses:': ['Grilled chicken and meat kebab', 'Kabb with yogurt', 'Saffron rice'], 'Working hours:': ['Daily from 12:00 PM to 12:00 AM.']}","Al Ustad Special Kabab Restaurant offers the most delicious authentic Iranian kebab dishes in a friendly, heritage atmosphere in Dubai.",25.2599002,55.2963013,https://maps.app.goo.gl/FTUF4HhFduDhWbvb6,restaurant,2025-03-25T00:05:12.000000Z
